timestamp,local_time,sensor_2,sensor_4,bbox_x1,bbox_y1,bbox_x2,bbox_y2,mv_1,mv_2,mv_3,mv_4,left_eye_x,left_eye_y,right_eye_x,right_eye_y,nose_x,nose_y,mouth_left_x,mouth_left_y,mouth_right_x,mouth_right_y,fhp,prediction,notes,user_id,bad_posture_command,alarm_notification,notification_interval,feedback
1108054,2024-08-08 20:45:51,,,,,,,509,514,509,508,,,,,,,,,,,,,,-1,no,no,,
1108064,2024-08-08 20:45:51,,,,,,,548,545,550,549,,,,,,,,,,,,,,-1,no,no,,
1108064,2024-08-08 20:45:51,,,,,,,548,545,550,549,,,,,,,,,,,,,,-1,no,no,,
1108074,2024-08-08 20:45:51,510,548,,,,,,,,,,,,,,,,,,,,,,-1,no,no,,
1108554,2024-08-08 20:45:51,,,,,,,509,514,509,515,,,,,,,,,,,,,,-1,no,no,,
1108554,2024-08-08 20:45:51,,,,,,,509,514,509,515,,,,,,,,,,,,,,-1,no,no,,
1108554,2024-08-08 20:45:51,,,,,,,509,514,509,515,,,,,,,,,,,,,,-1,no,no,,
1108564,2024-08-08 20:45:51,,,,,,,548,545,550,540,,,,,,,,,,,,,,-1,no,no,,
1108564,2024-08-08 20:45:51,,,,,,,548,545,550,540,,,,,,,,,,,,,,-1,no,no,,
1108574,2024-08-08 20:45:51,512,546,,,,,,,,,,,,,,,,,,,,,,-1,no,no,,
1109054,2024-08-08 20:45:52,,,,,,,507,514,509,515,,,,,,,,,,,,,,-1,no,no,,
1109054,2024-08-08 20:45:52,,,,,,,507,514,509,515,,,,,,,,,,,,,,-1,no,no,,
1109054,2024-08-08 20:45:52,,,,,,,507,514,509,515,,,,,,,,,,,,,,-1,no,no,,
1109064,2024-08-08 20:45:52,,,,,,,549,545,550,540,,,,,,,,,,,,,,-1,no,no,,
1109064,2024-08-08 20:45:52,,,,,,,549,545,550,540,,,,,,,,,,,,,,-1,no,no,,
1109074,2024-08-08 20:45:52,511,546,,,,,,,,,,,,,,,,,,,,,,-1,no,no,,
1109554,2024-08-08 20:45:52,,,,,,,507,507,509,515,,,,,,,,,,,,,,-1,no,no,,
1109554,2024-08-08 20:45:52,,,,,,,507,507,509,515,,,,,,,,,,,,,,-1,no,no,,
1109554,2024-08-08 20:45:52,,,,,,,507,507,509,515,,,,,,,,,,,,,,-1,no,no,,
1109564,2024-08-08 20:45:52,,,,,,,549,548,550,540,,,,,,,,,,,,,,-1,no,no,,
1109564,2024-08-08 20:45:52,,,,,,,549,548,550,540,,,,,,,,,,,,,,-1,no,no,,
1109574,2024-08-08 20:45:52,510,547,,,,,,,,,,,,,,,,,,,,,,-1,no,no,,
1110054,2024-08-08 20:45:53,,,,,,,507,507,511,515,,,,,,,,,,,,,,-1,no,no,,
1110054,2024-08-08 20:45:53,,,,,,,507,507,511,515,,,,,,,,,,,,,,-1,no,no,,
1110054,2024-08-08 20:45:53,,,,,,,507,507,511,515,,,,,,,,,,,,,,-1,no,no,,
1110064,2024-08-08 20:45:53,,,,,,,549,548,549,540,,,,,,,,,,,,,,-1,no,no,,
1110064,2024-08-08 20:45:53,,,,,,,549,548,549,540,,,,,,,,,,,,,,-1,no,no,,
1110074,2024-08-08 20:45:53,510,547,,,,,,,,,,,,,,,,,,,,,,-1,no,no,,
1110554,2024-08-08 20:45:53,,,,,,,507,507,511,515,,,,,,,,,,,,,,-1,no,no,,
1110554,2024-08-08 20:45:53,,,,,,,507,507,511,515,,,,,,,,,,,,,,-1,no,no,,
1110554,2024-08-08 20:45:53,,,,,,,507,507,511,515,,,,,,,,,,,,,,-1,no,no,,
1110564,2024-08-08 20:45:53,,,,,,,549,548,549,551,,,,,,,,,,,,,,-1,no,no,,
1110564,2024-08-08 20:45:53,,,,,,,549,548,549,551,,,,,,,,,,,,,,-1,no,no,,
1110574,2024-08-08 20:45:53,510,549,,,,,,,,,,,,,,,,,,,,,,-1,no,no,,
1111054,2024-08-08 20:45:54,,,,,,,512,507,511,515,,,,,,,,,,,,,,-1,no,no,,
1111054,2024-08-08 20:45:54,,,,,,,512,507,511,515,,,,,,,,,,,,,,-1,no,no,,
1111054,2024-08-08 20:45:54,,,,,,,512,507,511,515,,,,,,,,,,,,,,-1,no,no,,
1111064,2024-08-08 20:45:54,,,,,,,546,548,549,551,,,,,,,,,,,,,,-1,no,no,,
1111064,2024-08-08 20:45:54,,,,,,,546,548,549,551,,,,,,,,,,,,,,-1,no,no,,
1111074,2024-08-08 20:45:54,511,549,,,,,,,,,,,,,,,,,,,,,,-1,no,no,,
1111554,2024-08-08 20:45:54,,,,,,,512,508,511,515,,,,,,,,,,,,,,-1,no,no,,
1111554,2024-08-08 20:45:54,,,,,,,512,508,511,515,,,,,,,,,,,,,,-1,no,no,,
1111554,2024-08-08 20:45:54,,,,,,,512,508,511,515,,,,,,,,,,,,,,-1,no,no,,
1111564,2024-08-08 20:45:54,,,,,,,546,549,549,551,,,,,,,,,,,,,,-1,no,no,,
1111564,2024-08-08 20:45:54,,,,,,,546,549,549,551,,,,,,,,,,,,,,-1,no,no,,
1111574,2024-08-08 20:45:54,512,549,,,,,,,,,,,,,,,,,,,,,,-1,no,no,,
1112054,2024-08-08 20:45:55,,,,,,,512,508,511,515,,,,,,,,,,,,,,-1,no,no,,
1112054,2024-08-08 20:45:55,,,,,,,512,508,511,515,,,,,,,,,,,,,,-1,no,no,,
1112054,2024-08-08 20:45:55,,,,,,,512,508,511,515,,,,,,,,,,,,,,-1,no,no,,
1112064,2024-08-08 20:45:55,,,,,,,546,549,552,551,,,,,,,,,,,,,,-1,no,no,,
