timestamp,local_time,sensor_2,sensor_4,bbox_x1,bbox_y1,bbox_x2,bbox_y2,mv_1,mv_2,mv_3,mv_4,left_eye_x,left_eye_y,right_eye_x,right_eye_y,nose_x,nose_y,mouth_left_x,mouth_left_y,mouth_right_x,mouth_right_y,fhp,prediction,notes,user_id,bad_posture_command,alarm_notification,notification_interval,feedback
599564,2024-08-08 20:37:22,,,,,,,548,548,540,545,,,,,,,,,,,,,,-1,no,no,,
599574,2024-08-08 20:37:22,513,545,,,,,,,,,,,,,,,,,,,,,,-1,no,no,,
600054,2024-08-08 20:37:23,,,,,,,517,518,508,506,,,,,,,,,,,,,,-1,no,no,,
600054,2024-08-08 20:37:23,,,,,,,517,518,508,506,,,,,,,,,,,,,,-1,no,no,,
600054,2024-08-08 20:37:23,,,,,,,517,518,508,506,,,,,,,,,,,,,,-1,no,no,,
600064,2024-08-08 20:37:23,,,,,,,548,548,545,545,,,,,,,,,,,,,,-1,no,no,,
600064,2024-08-08 20:37:23,,,,,,,548,548,545,545,,,,,,,,,,,,,,-1,no,no,,
600074,2024-08-08 20:37:23,512,547,,,,,,,,,,,,,,,,,,,,,,-1,no,no,,
600554,2024-08-08 20:37:23,,,,,,,517,518,508,517,,,,,,,,,,,,,,-1,no,no,,
600554,2024-08-08 20:37:23,,,,,,,517,518,508,517,,,,,,,,,,,,,,-1,no,no,,
600554,2024-08-08 20:37:23,,,,,,,517,518,508,517,,,,,,,,,,,,,,-1,no,no,,
600564,2024-08-08 20:37:23,,,,,,,548,548,545,551,,,,,,,,,,,,,,-1,no,no,,
600564,2024-08-08 20:37:23,,,,,,,548,548,545,551,,,,,,,,,,,,,,-1,no,no,,
600574,2024-08-08 20:37:23,515,548,,,,,,,,,,,,,,,,,,,,,,-1,no,no,,
601054,2024-08-08 20:37:24,,,,,,,510,518,508,517,,,,,,,,,,,,,,-1,no,no,,
601054,2024-08-08 20:37:24,,,,,,,510,518,508,517,,,,,,,,,,,,,,-1,no,no,,
601054,2024-08-08 20:37:24,,,,,,,510,518,508,517,,,,,,,,,,,,,,-1,no,no,,
601064,2024-08-08 20:37:24,,,,,,,549,548,545,551,,,,,,,,,,,,,,-1,no,no,,
601064,2024-08-08 20:37:24,,,,,,,549,548,545,551,,,,,,,,,,,,,,-1,no,no,,
601074,2024-08-08 20:37:24,513,548,,,,,,,,,,,,,,,,,,,,,,-1,no,no,,
601554,2024-08-08 20:37:24,,,,,,,510,517,508,517,,,,,,,,,,,,,,-1,no,no,,
601554,2024-08-08 20:37:24,,,,,,,510,517,508,517,,,,,,,,,,,,,,-1,no,no,,
601554,2024-08-08 20:37:24,,,,,,,510,517,508,517,,,,,,,,,,,,,,-1,no,no,,
601564,2024-08-08 20:37:24,,,,,,,549,540,545,551,,,,,,,,,,,,,,-1,no,no,,
601564,2024-08-08 20:37:24,,,,,,,549,540,545,551,,,,,,,,,,,,,,-1,no,no,,
601574,2024-08-08 20:37:24,513,546,,,,,,,,,,,,,,,,,,,,,,-1,no,no,,
602054,2024-08-08 20:37:25,,,,,,,510,517,513,517,,,,,,,,,,,,,,-1,no,no,,
602054,2024-08-08 20:37:25,,,,,,,510,517,513,517,,,,,,,,,,,,,,-1,no,no,,
602054,2024-08-08 20:37:25,,,,,,,510,517,513,517,,,,,,,,,,,,,,-1,no,no,,
602064,2024-08-08 20:37:25,,,,,,,549,540,545,551,,,,,,,,,,,,,,-1,no,no,,
602064,2024-08-08 20:37:25,,,,,,,549,540,545,551,,,,,,,,,,,,,,-1,no,no,,
602074,2024-08-08 20:37:25,514,546,,,,,,,,,,,,,,,,,,,,,,-1,no,no,,
602554,2024-08-08 20:37:25,,,,,,,510,517,513,507,,,,,,,,,,,,,,-1,no,no,,
602554,2024-08-08 20:37:25,,,,,,,510,517,513,507,,,,,,,,,,,,,,-1,no,no,,
602554,2024-08-08 20:37:25,,,,,,,510,517,513,507,,,,,,,,,,,,,,-1,no,no,,
602564,2024-08-08 20:37:25,,,,,,,549,540,545,541,,,,,,,,,,,,,,-1,no,no,,
602564,2024-08-08 20:37:25,,,,,,,549,540,545,541,,,,,,,,,,,,,,-1,no,no,,
602574,2024-08-08 20:37:25,512,544,,,,,,,,,,,,,,,,,,,,,,-1,no,no,,
603054,2024-08-08 20:37:26,,,,,,,511,517,513,507,,,,,,,,,,,,,,-1,no,no,,
603054,2024-08-08 20:37:26,,,,,,,511,517,513,507,,,,,,,,,,,,,,-1,no,no,,
603054,2024-08-08 20:37:26,,,,,,,511,517,513,507,,,,,,,,,,,,,,-1,no,no,,
603064,2024-08-08 20:37:26,,,,,,,545,540,545,541,,,,,,,,,,,,,,-1,no,no,,
603064,2024-08-08 20:37:26,,,,,,,545,540,545,541,,,,,,,,,,,,,,-1,no,no,,
603074,2024-08-08 20:37:26,512,543,,,,,,,,,,,,,,,,,,,,,,-1,no,no,,
603554,2024-08-08 20:37:26,,,,,,,511,510,513,507,,,,,,,,,,,,,,-1,no,no,,
603554,2024-08-08 20:37:26,,,,,,,511,510,513,507,,,,,,,,,,,,,,-1,no,no,,
603554,2024-08-08 20:37:26,,,,,,,511,510,513,507,,,,,,,,,,,,,,-1,no,no,,
603564,2024-08-08 20:37:26,,,,,,,545,545,545,541,,,,,,,,,,,,,,-1,no,no,,
603564,2024-08-08 20:37:26,,,,,,,545,545,545,541,,,,,,,,,,,,,,-1,no,no,,
603574,2024-08-08 20:37:26,510,544,,,,,,,,,,,,,,,,,,,,,,-1,no,no,,
