timestamp,local_time,sensor_2,sensor_4,bbox_x1,bbox_y1,bbox_x2,bbox_y2,mv_1,mv_2,mv_3,mv_4,left_eye_x,left_eye_y,right_eye_x,right_eye_y,nose_x,nose_y,mouth_left_x,mouth_left_y,mouth_right_x,mouth_right_y,fhp,prediction,notes,user_id,bad_posture_command,alarm_notification,notification_interval,feedback
595554,2024-08-08 20:37:18,,,,,,,517,514,509,507,,,,,,,,,,,,,,-1,no,no,,
595564,2024-08-08 20:37:18,,,,,,,551,547,547,540,,,,,,,,,,,,,,-1,no,no,,
595564,2024-08-08 20:37:18,,,,,,,551,547,547,540,,,,,,,,,,,,,,-1,no,no,,
595574,2024-08-08 20:37:18,512,546,,,,,,,,,,,,,,,,,,,,,,-1,no,no,,
596054,2024-08-08 20:37:19,,,,,,,517,514,513,507,,,,,,,,,,,,,,-1,no,no,,
596054,2024-08-08 20:37:19,,,,,,,517,514,513,507,,,,,,,,,,,,,,-1,no,no,,
596054,2024-08-08 20:37:19,,,,,,,517,514,513,507,,,,,,,,,,,,,,-1,no,no,,
596064,2024-08-08 20:37:19,,,,,,,551,547,546,540,,,,,,,,,,,,,,-1,no,no,,
596064,2024-08-08 20:37:19,,,,,,,551,547,546,540,,,,,,,,,,,,,,-1,no,no,,
596074,2024-08-08 20:37:19,513,546,,,,,,,,,,,,,,,,,,,,,,-1,no,no,,
596554,2024-08-08 20:37:19,,,,,,,517,514,513,508,,,,,,,,,,,,,,-1,no,no,,
596554,2024-08-08 20:37:19,,,,,,,517,514,513,508,,,,,,,,,,,,,,-1,no,no,,
596554,2024-08-08 20:37:19,,,,,,,517,514,513,508,,,,,,,,,,,,,,-1,no,no,,
596564,2024-08-08 20:37:19,,,,,,,551,547,546,550,,,,,,,,,,,,,,-1,no,no,,
596564,2024-08-08 20:37:19,,,,,,,551,547,546,550,,,,,,,,,,,,,,-1,no,no,,
596574,2024-08-08 20:37:19,513,549,,,,,,,,,,,,,,,,,,,,,,-1,no,no,,
597054,2024-08-08 20:37:20,,,,,,,516,514,513,508,,,,,,,,,,,,,,-1,no,no,,
597054,2024-08-08 20:37:20,,,,,,,516,514,513,508,,,,,,,,,,,,,,-1,no,no,,
597054,2024-08-08 20:37:20,,,,,,,516,514,513,508,,,,,,,,,,,,,,-1,no,no,,
597064,2024-08-08 20:37:20,,,,,,,546,547,546,550,,,,,,,,,,,,,,-1,no,no,,
597064,2024-08-08 20:37:20,,,,,,,546,547,546,550,,,,,,,,,,,,,,-1,no,no,,
597074,2024-08-08 20:37:20,513,547,,,,,,,,,,,,,,,,,,,,,,-1,no,no,,
597554,2024-08-08 20:37:20,,,,,,,516,510,513,508,,,,,,,,,,,,,,-1,no,no,,
597554,2024-08-08 20:37:20,,,,,,,516,510,513,508,,,,,,,,,,,,,,-1,no,no,,
597554,2024-08-08 20:37:20,,,,,,,516,510,513,508,,,,,,,,,,,,,,-1,no,no,,
597564,2024-08-08 20:37:20,,,,,,,546,549,546,550,,,,,,,,,,,,,,-1,no,no,,
597564,2024-08-08 20:37:20,,,,,,,546,549,546,550,,,,,,,,,,,,,,-1,no,no,,
597574,2024-08-08 20:37:20,512,548,,,,,,,,,,,,,,,,,,,,,,-1,no,no,,
598054,2024-08-08 20:37:21,,,,,,,516,510,511,508,,,,,,,,,,,,,,-1,no,no,,
598054,2024-08-08 20:37:21,,,,,,,516,510,511,508,,,,,,,,,,,,,,-1,no,no,,
598054,2024-08-08 20:37:21,,,,,,,516,510,511,508,,,,,,,,,,,,,,-1,no,no,,
598064,2024-08-08 20:37:21,,,,,,,546,549,540,550,,,,,,,,,,,,,,-1,no,no,,
598064,2024-08-08 20:37:21,,,,,,,546,549,540,550,,,,,,,,,,,,,,-1,no,no,,
598074,2024-08-08 20:37:21,511,546,,,,,,,,,,,,,,,,,,,,,,-1,no,no,,
598554,2024-08-08 20:37:21,,,,,,,516,510,511,506,,,,,,,,,,,,,,-1,no,no,,
598554,2024-08-08 20:37:21,,,,,,,516,510,511,506,,,,,,,,,,,,,,-1,no,no,,
598554,2024-08-08 20:37:21,,,,,,,516,510,511,506,,,,,,,,,,,,,,-1,no,no,,
598564,2024-08-08 20:37:21,,,,,,,546,549,540,545,,,,,,,,,,,,,,-1,no,no,,
598564,2024-08-08 20:37:21,,,,,,,546,549,540,545,,,,,,,,,,,,,,-1,no,no,,
598574,2024-08-08 20:37:21,511,545,,,,,,,,,,,,,,,,,,,,,,-1,no,no,,
599054,2024-08-08 20:37:22,,,,,,,517,510,511,506,,,,,,,,,,,,,,-1,no,no,,
599054,2024-08-08 20:37:22,,,,,,,517,510,511,506,,,,,,,,,,,,,,-1,no,no,,
599054,2024-08-08 20:37:22,,,,,,,517,510,511,506,,,,,,,,,,,,,,-1,no,no,,
599064,2024-08-08 20:37:22,,,,,,,548,549,540,545,,,,,,,,,,,,,,-1,no,no,,
599064,2024-08-08 20:37:22,,,,,,,548,549,540,545,,,,,,,,,,,,,,-1,no,no,,
599074,2024-08-08 20:37:22,511,546,,,,,,,,,,,,,,,,,,,,,,-1,no,no,,
599554,2024-08-08 20:37:22,,,,,,,517,518,511,506,,,,,,,,,,,,,,-1,no,no,,
599554,2024-08-08 20:37:22,,,,,,,517,518,511,506,,,,,,,,,,,,,,-1,no,no,,
599554,2024-08-08 20:37:22,,,,,,,517,518,511,506,,,,,,,,,,,,,,-1,no,no,,
599564,2024-08-08 20:37:22,,,,,,,548,548,540,545,,,,,,,,,,,,,,-1,no,no,,
