timestamp,local_time,sensor_2,sensor_4,bbox_x1,bbox_y1,bbox_x2,bbox_y2,mv_1,mv_2,mv_3,mv_4,left_eye_x,left_eye_y,right_eye_x,right_eye_y,nose_x,nose_y,mouth_left_x,mouth_left_y,mouth_right_x,mouth_right_y,fhp,prediction,notes,user_id,bad_posture_command,alarm_notification,notification_interval,feedback
299564,2024-08-08 20:32:22,,,,,,,543,543,547,539,,,,,,,,,,,,,,-1,no,no,,
299574,2024-08-08 20:32:22,510,543,,,,,,,,,,,,,,,,,,,,,,-1,no,no,,
300054,2024-08-08 20:32:23,,,,,,,509,510,515,510,,,,,,,,,,,,,,-1,no,no,,
300054,2024-08-08 20:32:23,,,,,,,509,510,515,510,,,,,,,,,,,,,,-1,no,no,,
300054,2024-08-08 20:32:23,,,,,,,509,510,515,510,,,,,,,,,,,,,,-1,no,no,,
300064,2024-08-08 20:32:23,,,,,,,543,543,545,539,,,,,,,,,,,,,,-1,no,no,,
300064,2024-08-08 20:32:23,,,,,,,543,543,545,539,,,,,,,,,,,,,,-1,no,no,,
300074,2024-08-08 20:32:23,511,543,,,,,,,,,,,,,,,,,,,,,,-1,no,no,,
300554,2024-08-08 20:32:23,,,,,,,509,510,515,507,,,,,,,,,,,,,,-1,no,no,,
300554,2024-08-08 20:32:23,,,,,,,509,510,515,507,,,,,,,,,,,,,,-1,no,no,,
300554,2024-08-08 20:32:23,,,,,,,509,510,515,507,,,,,,,,,,,,,,-1,no,no,,
300564,2024-08-08 20:32:23,,,,,,,543,543,545,543,,,,,,,,,,,,,,-1,no,no,,
300564,2024-08-08 20:32:23,,,,,,,543,543,545,543,,,,,,,,,,,,,,-1,no,no,,
300574,2024-08-08 20:32:23,510,544,,,,,,,,,,,,,,,,,,,,,,-1,no,no,,
301054,2024-08-08 20:32:24,,,,,,,507,510,515,507,,,,,,,,,,,,,,-1,no,no,,
301054,2024-08-08 20:32:24,,,,,,,507,510,515,507,,,,,,,,,,,,,,-1,no,no,,
301054,2024-08-08 20:32:24,,,,,,,507,510,515,507,,,,,,,,,,,,,,-1,no,no,,
301064,2024-08-08 20:32:24,,,,,,,537,543,545,543,,,,,,,,,,,,,,-1,no,no,,
301064,2024-08-08 20:32:24,,,,,,,537,543,545,543,,,,,,,,,,,,,,-1,no,no,,
301074,2024-08-08 20:32:24,510,542,,,,,,,,,,,,,,,,,,,,,,-1,no,no,,
301554,2024-08-08 20:32:24,,,,,,,507,513,515,507,,,,,,,,,,,,,,-1,no,no,,
301554,2024-08-08 20:32:24,,,,,,,507,513,515,507,,,,,,,,,,,,,,-1,no,no,,
301554,2024-08-08 20:32:24,,,,,,,507,513,515,507,,,,,,,,,,,,,,-1,no,no,,
301564,2024-08-08 20:32:24,,,,,,,537,545,545,543,,,,,,,,,,,,,,-1,no,no,,
301564,2024-08-08 20:32:24,,,,,,,537,545,545,543,,,,,,,,,,,,,,-1,no,no,,
301574,2024-08-08 20:32:24,511,543,,,,,,,,,,,,,,,,,,,,,,-1,no,no,,
302054,2024-08-08 20:32:25,,,,,,,507,513,515,507,,,,,,,,,,,,,,-1,no,no,,
302054,2024-08-08 20:32:25,,,,,,,507,513,515,507,,,,,,,,,,,,,,-1,no,no,,
302054,2024-08-08 20:32:25,,,,,,,507,513,515,507,,,,,,,,,,,,,,-1,no,no,,
302064,2024-08-08 20:32:25,,,,,,,537,545,541,543,,,,,,,,,,,,,,-1,no,no,,
302064,2024-08-08 20:32:25,,,,,,,537,545,541,543,,,,,,,,,,,,,,-1,no,no,,
302074,2024-08-08 20:32:25,511,542,,,,,,,,,,,,,,,,,,,,,,-1,no,no,,
302554,2024-08-08 20:32:25,,,,,,,507,513,515,511,,,,,,,,,,,,,,-1,no,no,,
302554,2024-08-08 20:32:25,,,,,,,507,513,515,511,,,,,,,,,,,,,,-1,no,no,,
302554,2024-08-08 20:32:25,,,,,,,507,513,515,511,,,,,,,,,,,,,,-1,no,no,,
302564,2024-08-08 20:32:25,,,,,,,537,545,541,537,,,,,,,,,,,,,,-1,no,no,,
302564,2024-08-08 20:32:25,,,,,,,537,545,541,537,,,,,,,,,,,,,,-1,no,no,,
302574,2024-08-08 20:32:25,512,540,,,,,,,,,,,,,,,,,,,,,,-1,no,no,,
303054,2024-08-08 20:32:26,,,,,,,507,513,515,511,,,,,,,,,,,,,,-1,no,no,,
303054,2024-08-08 20:32:26,,,,,,,507,513,515,511,,,,,,,,,,,,,,-1,no,no,,
303054,2024-08-08 20:32:26,,,,,,,507,513,515,511,,,,,,,,,,,,,,-1,no,no,,
303064,2024-08-08 20:32:26,,,,,,,539,545,541,537,,,,,,,,,,,,,,-1,no,no,,
303064,2024-08-08 20:32:26,,,,,,,539,545,541,537,,,,,,,,,,,,,,-1,no,no,,
303074,2024-08-08 20:32:26,512,541,,,,,,,,,,,,,,,,,,,,,,-1,no,no,,
303554,2024-08-08 20:32:26,,,,,,,507,513,515,511,,,,,,,,,,,,,,-1,no,no,,
303554,2024-08-08 20:32:26,,,,,,,507,513,515,511,,,,,,,,,,,,,,-1,no,no,,
303554,2024-08-08 20:32:26,,,,,,,507,513,515,511,,,,,,,,,,,,,,-1,no,no,,
303564,2024-08-08 20:32:26,,,,,,,539,546,541,537,,,,,,,,,,,,,,-1,no,no,,
303564,2024-08-08 20:32:26,,,,,,,539,546,541,537,,,,,,,,,,,,,,-1,no,no,,
303574,2024-08-08 20:32:26,512,541,,,,,,,,,,,,,,,,,,,,,,-1,no,no,,
