timestamp,local_time,sensor_2,sensor_4,bbox_x1,bbox_y1,bbox_x2,bbox_y2,mv_1,mv_2,mv_3,mv_4,left_eye_x,left_eye_y,right_eye_x,right_eye_y,nose_x,nose_y,mouth_left_x,mouth_left_y,mouth_right_x,mouth_right_y,fhp,prediction,notes,user_id,bad_posture_command,alarm_notification,notification_interval,feedback
1863054,2024-08-08 20:58:26,,,,,,,602,599,601,603,,,,,,,,,,,,,,-1,no,no,,
1863054,2024-08-08 20:58:26,,,,,,,602,599,601,603,,,,,,,,,,,,,,-1,no,no,,
1863054,2024-08-08 20:58:26,,,,,,,602,599,601,603,,,,,,,,,,,,,,-1,no,no,,
1863064,2024-08-08 20:58:26,,,,,,,631,643,641,635,,,,,,,,,,,,,,-1,no,no,,
1863064,2024-08-08 20:58:26,,,,,,,631,643,641,635,,,,,,,,,,,,,,-1,no,no,,
1863074,2024-08-08 20:58:26,601,638,,,,,,,,,,,,,,,,,,,,,,-1,no,no,,
1863554,2024-08-08 20:58:26,,,,,,,602,601,601,603,,,,,,,,,,,,,,-1,no,no,,
1863554,2024-08-08 20:58:26,,,,,,,602,601,601,603,,,,,,,,,,,,,,-1,no,no,,
1863554,2024-08-08 20:58:26,,,,,,,602,601,601,603,,,,,,,,,,,,,,-1,no,no,,
1863564,2024-08-08 20:58:26,,,,,,,631,637,641,635,,,,,,,,,,,,,,-1,no,no,,
1863564,2024-08-08 20:58:26,,,,,,,631,637,641,635,,,,,,,,,,,,,,-1,no,no,,
1863574,2024-08-08 20:58:26,602,636,,,,,,,,,,,,,,,,,,,,,,-1,no,no,,
1864054,2024-08-08 20:58:27,,,,,,,602,601,606,603,,,,,,,,,,,,,,-1,no,no,,
1864054,2024-08-08 20:58:27,,,,,,,602,601,606,603,,,,,,,,,,,,,,-1,no,no,,
1864054,2024-08-08 20:58:27,,,,,,,602,601,606,603,,,,,,,,,,,,,,-1,no,no,,
1864064,2024-08-08 20:58:27,,,,,,,631,637,633,635,,,,,,,,,,,,,,-1,no,no,,
1864064,2024-08-08 20:58:27,,,,,,,631,637,633,635,,,,,,,,,,,,,,-1,no,no,,
1864074,2024-08-08 20:58:27,603,634,,,,,,,,,,,,,,,,,,,,,,-1,no,no,,
1864554,2024-08-08 20:58:27,,,,,,,602,601,606,598,,,,,,,,,,,,,,-1,no,no,,
1864554,2024-08-08 20:58:27,,,,,,,602,601,606,598,,,,,,,,,,,,,,-1,no,no,,
1864554,2024-08-08 20:58:27,,,,,,,602,601,606,598,,,,,,,,,,,,,,-1,no,no,,
1864564,2024-08-08 20:58:27,,,,,,,631,637,633,639,,,,,,,,,,,,,,-1,no,no,,
1864564,2024-08-08 20:58:27,,,,,,,631,637,633,639,,,,,,,,,,,,,,-1,no,no,,
1864574,2024-08-08 20:58:27,602,635,,,,,,,,,,,,,,,,,,,,,,-1,no,no,,
1865054,2024-08-08 20:58:28,,,,,,,600,601,606,598,,,,,,,,,,,,,,-1,no,no,,
1865054,2024-08-08 20:58:28,,,,,,,600,601,606,598,,,,,,,,,,,,,,-1,no,no,,
1865054,2024-08-08 20:58:28,,,,,,,600,601,606,598,,,,,,,,,,,,,,-1,no,no,,
1865064,2024-08-08 20:58:28,,,,,,,640,637,633,639,,,,,,,,,,,,,,-1,no,no,,
1865064,2024-08-08 20:58:28,,,,,,,640,637,633,639,,,,,,,,,,,,,,-1,no,no,,
1865074,2024-08-08 20:58:28,601,637,,,,,,,,,,,,,,,,,,,,,,-1,no,no,,
1865554,2024-08-08 20:58:28,,,,,,,600,600,606,598,,,,,,,,,,,,,,-1,no,no,,
1865554,2024-08-08 20:58:28,,,,,,,600,600,606,598,,,,,,,,,,,,,,-1,no,no,,
1865554,2024-08-08 20:58:28,,,,,,,600,600,606,598,,,,,,,,,,,,,,-1,no,no,,
1865564,2024-08-08 20:58:28,,,,,,,640,640,633,639,,,,,,,,,,,,,,-1,no,no,,
1865564,2024-08-08 20:58:28,,,,,,,640,640,633,639,,,,,,,,,,,,,,-1,no,no,,
1865574,2024-08-08 20:58:28,601,638,,,,,,,,,,,,,,,,,,,,,,-1,no,no,,
1866054,2024-08-08 20:58:29,,,,,,,600,600,601,598,,,,,,,,,,,,,,-1,no,no,,
1866054,2024-08-08 20:58:29,,,,,,,600,600,601,598,,,,,,,,,,,,,,-1,no,no,,
1866054,2024-08-08 20:58:29,,,,,,,600,600,601,598,,,,,,,,,,,,,,-1,no,no,,
1866064,2024-08-08 20:58:29,,,,,,,640,640,635,639,,,,,,,,,,,,,,-1,no,no,,
1866064,2024-08-08 20:58:29,,,,,,,640,640,635,639,,,,,,,,,,,,,,-1,no,no,,
1866074,2024-08-08 20:58:29,600,639,,,,,,,,,,,,,,,,,,,,,,-1,no,no,,
