timestamp,local_time,sensor_2,sensor_4,bbox_x1,bbox_y1,bbox_x2,bbox_y2,mv_1,mv_2,mv_3,mv_4,left_eye_x,left_eye_y,right_eye_x,right_eye_y,nose_x,nose_y,mouth_left_x,mouth_left_y,mouth_right_x,mouth_right_y,fhp,prediction,notes,user_id,bad_posture_command,alarm_notification,notification_interval,feedback,model_threshold,model_notes
4651599,2024-08-19 11:09:58,,,84,90,158,190,,,,,106,130,143,128,125,150,112,169,141,168,280,,,2,no,no,,,,
4651679,2024-08-19 11:09:58,,,84,91,158,192,,,,,106,131,141,129,125,150,112,169,139,168,,,,2,no,no,,,,
4651679,2024-08-19 11:09:58,,,84,91,158,192,,,,,106,131,141,129,125,150,112,169,139,168,,,,2,no,no,,,,
4651699,2024-08-19 11:09:58,,,,,,,,,,,,,,,,,,,,,280,,,2,no,no,,,,
4651759,2024-08-19 11:09:59,,,84,88,158,189,,,,,105,131,142,127,125,151,113,170,140,167,,,,2,no,no,,,,
4651759,2024-08-19 11:09:59,,,84,88,158,189,,,,,105,131,142,127,125,151,113,170,140,167,,,,2,no,no,,,,
4651799,2024-08-19 11:09:59,,,,,,,329,332,323,315,,,,,,,,,,,,,,2,no,no,,,,
4651799,2024-08-19 11:09:59,,,,,,,329,332,323,315,,,,,,,,,,,,,,2,no,no,,,,
4651809,2024-08-19 11:09:59,,,,,,,575,593,583,590,,,,,,,,,,,,,,2,no,no,,,,
4651809,2024-08-19 11:09:59,,,,,,,575,593,583,590,,,,,,,,,,,,,,2,no,no,,,,
4651809,2024-08-19 11:09:59,,,,,,,575,593,583,590,,,,,,,,,,,,,,2,no,no,,,,
4651819,2024-08-19 11:09:59,325,585,,,,,,,,,,,,,,,,,,,,0,,2,no,no,,,,
4651829,2024-08-19 11:09:59,,,,,,,,,,,,,,,,,,,,,280,,,2,no,no,,,,
4651849,2024-08-19 11:09:59,,,85,90,158,189,,,,,105,130,142,128,124,150,113,169,139,168,,,,2,no,no,,,,
4651849,2024-08-19 11:09:59,,,85,90,158,189,,,,,105,130,142,128,124,150,113,169,139,168,,,,2,no,no,,,,
4651899,2024-08-19 11:09:59,,,,,,,,,,,,,,,,,,,,,280,,,2,no,no,,,,
4651919,2024-08-19 11:09:59,,,84,91,157,190,,,,,106,130,141,128,125,150,112,168,139,167,,,,2,no,no,,,,
4651919,2024-08-19 11:09:59,,,84,91,157,190,,,,,106,130,141,128,125,150,112,168,139,167,,,,2,no,no,,,,
4651999,2024-08-19 11:09:59,,,86,90,159,192,,,,,106,130,142,129,125,151,113,171,141,169,280,,,2,no,no,,,,
4651999,2024-08-19 11:09:59,,,86,90,159,192,,,,,106,130,142,129,125,151,113,171,141,169,280,,,2,no,no,,,,
4651999,2024-08-19 11:09:59,,,86,90,159,192,,,,,106,130,142,129,125,151,113,171,141,169,280,,,2,no,no,,,,
4652079,2024-08-19 11:09:59,,,86,90,158,191,,,,,106,130,142,128,125,150,113,170,140,168,,,,2,no,no,,,,
4652079,2024-08-19 11:09:59,,,86,90,158,191,,,,,106,130,142,128,125,150,113,170,140,168,,,,2,no,no,,,,
4652099,2024-08-19 11:09:59,,,,,,,,,,,,,,,,,,,,,280,,,2,no,no,,,,
4652159,2024-08-19 11:09:59,,,86,91,158,192,,,,,107,130,143,129,126,151,114,169,141,168,,,,2,no,no,,,,
4652159,2024-08-19 11:09:59,,,86,91,158,192,,,,,107,130,143,129,126,151,114,169,141,168,,,,2,no,no,,,,
4652199,2024-08-19 11:09:59,,,,,,,,,,,,,,,,,,,,,280,,,2,no,no,,,,
4652239,2024-08-19 11:09:59,,,86,91,158,190,,,,,106,130,142,128,125,151,113,170,140,169,,,,2,no,no,,,,
4652239,2024-08-19 11:09:59,,,86,91,158,190,,,,,106,130,142,128,125,151,113,170,140,169,,,,2,no,no,,,,
4652299,2024-08-19 11:09:59,,,,,,,329,328,323,315,,,,,,,,,,,,,,2,no,no,,,,
4652299,2024-08-19 11:09:59,,,,,,,329,328,323,315,,,,,,,,,,,,,,2,no,no,,,,
4652309,2024-08-19 11:09:59,,,,,,,575,581,583,590,,,,,,,,,,,,,,2,no,no,,,,
