timestamp,local_time,sensor_2,sensor_4,bbox_x1,bbox_y1,bbox_x2,bbox_y2,mv_1,mv_2,mv_3,mv_4,left_eye_x,left_eye_y,right_eye_x,right_eye_y,nose_x,nose_y,mouth_left_x,mouth_left_y,mouth_right_x,mouth_right_y,fhp,prediction,notes,user_id,bad_posture_command,alarm_notification,notification_interval,feedback,Unnamed: 0,Notes
14870097,2024-08-13 14:04:58,,,,,,,614.0,597.0,645.0,631.0,,,,,,,,,,,,,,2,no,yes,5.0,1.0,,
14870097,2024-08-13 14:04:58,,,,,,,614.0,597.0,645.0,631.0,,,,,,,,,,,,,,2,no,yes,5.0,1.0,,
14870107,2024-08-13 14:04:58,622.0,730.0,,,,,712.0,711.0,748.0,747.0,,,,,,,,,,,,0.0,,2,no,yes,5.0,1.0,,
14870107,2024-08-13 14:04:58,622.0,730.0,,,,,712.0,711.0,748.0,747.0,,,,,,,,,,,,0.0,,2,no,yes,5.0,1.0,,
14870117,2024-08-13 14:04:58,,,,,,,,,,,,,,,,,,,,,,,,2,no,yes,5.0,1.0,,
14870597,2024-08-13 14:04:58,,,,,,,614.0,597.0,601.0,631.0,,,,,,,,,,,,,,2,no,yes,5.0,1.0,,
14870597,2024-08-13 14:04:58,,,,,,,614.0,597.0,601.0,631.0,,,,,,,,,,,,,,2,no,yes,5.0,1.0,,
14870597,2024-08-13 14:04:58,,,,,,,614.0,597.0,601.0,631.0,,,,,,,,,,,,,,2,no,yes,5.0,1.0,,
14870607,2024-08-13 14:04:59,611.0,721.0,,,,,712.0,711.0,714.0,747.0,,,,,,,,,,,,0.0,,2,no,yes,5.0,1.0,,
14870607,2024-08-13 14:04:59,611.0,721.0,,,,,712.0,711.0,714.0,747.0,,,,,,,,,,,,0.0,,2,no,yes,5.0,1.0,,
14870617,2024-08-13 14:04:59,,,,,,,,,,,,,,,,,,,,,,,,2,no,yes,5.0,1.0,,
14871097,2024-08-13 14:04:59,,,,,,,614.0,597.0,601.0,644.0,,,,,,,,,,,,,,2,no,yes,5.0,1.0,,
