timestamp,local_time,sensor_2,sensor_4,bbox_x1,bbox_y1,bbox_x2,bbox_y2,mv_1,mv_2,mv_3,mv_4,left_eye_x,left_eye_y,right_eye_x,right_eye_y,nose_x,nose_y,mouth_left_x,mouth_left_y,mouth_right_x,mouth_right_y,fhp,prediction,notes,user_id,alarm_notification,notification_interval,feedback,model_threshold,model_notes
15483638,2024-08-29 16:22:30,,,50.0,111.0,130.0,220.0,,,,,70.0,151.0,108.0,154.0,87.0,177.0,72.0,194.0,102.0,196.0,,,,-1,no,,,,
15483668,2024-08-29 16:22:30,,,,,,,486.0,482.0,483.0,485.0,,,,,,,,,,,,,,-1,no,,,,
15483678,2024-08-29 16:22:30,,,,,,,599.0,598.0,598.0,598.0,,,,,,,,,,,,,,-1,no,,,,
15483688,2024-08-29 16:22:30,484.0,598.0,,,,,,,,,,,,,,,,,,,134.0,,,-1,no,,,,
15483728,2024-08-29 16:22:30,,,50.0,112.0,128.0,219.0,,,,,71.0,150.0,108.0,153.0,87.0,175.0,71.0,191.0,102.0,194.0,,,,-1,no,,,,
15483768,2024-08-29 16:22:30,,,,,,,,,,,,,,,,,,,,,134.0,,,-1,no,,,,
15483798,2024-08-29 16:22:30,,,51.0,112.0,128.0,218.0,,,,,71.0,151.0,109.0,155.0,87.0,177.0,72.0,193.0,102.0,195.0,,,,-1,no,,,,
15483868,2024-08-29 16:22:30,,,,,,,,,,,,,,,,,,,,,134.0,,,-1,no,,,,
15483878,2024-08-29 16:22:30,,,50.0,113.0,130.0,226.0,,,,,71.0,152.0,109.0,156.0,87.0,177.0,73.0,193.0,103.0,196.0,,,,-1,no,,,,
15483958,2024-08-29 16:22:30,,,50.0,113.0,128.0,220.0,,,,,71.0,151.0,109.0,155.0,87.0,177.0,72.0,192.0,102.0,196.0,,,,-1,no,,,,
15483968,2024-08-29 16:22:30,,,,,,,,,,,,,,,,,,,,,134.0,,,-1,no,,,,
15484038,2024-08-29 16:22:30,,,49.0,113.0,129.0,225.0,,,,,72.0,152.0,109.0,155.0,88.0,176.0,73.0,193.0,103.0,196.0,,,,-1,no,,,,
15484068,2024-08-29 16:22:30,,,,,,,,,,,,,,,,,,,,,134.0,,,-1,no,,,,
15484118,2024-08-29 16:22:30,,,50.0,112.0,130.0,220.0,,,,,71.0,151.0,109.0,154.0,87.0,177.0,72.0,193.0,102.0,195.0,,,,-1,no,,,,
15484168,2024-08-29 16:22:30,,,,,,,486.0,482.0,483.0,483.0,,,,,,,,,,,,,,-1,no,,,,
15484178,2024-08-29 16:22:30,,,,,,,599.0,598.0,598.0,598.0,,,,,,,,,,,,,,-1,no,,,,
15484188,2024-08-29 16:22:31,484.0,598.0,,,,,,,,,,,,,,,,,,,134.0,0.0,,2,no,,,62.5,Thresholds changed from nan to 62.5 at 15484188 local time.
15484208,2024-08-29 16:22:36,,,49.0,112.0,128.0,223.0,,,,,71.0,151.0,109.0,154.0,87.0,176.0,73.0,192.0,102.0,195.0,,,,2,no,,,62.5,
15484268,2024-08-29 16:22:36,,,,,,,,,,,,,,,,,,,,,134.0,,,2,no,,,62.5,
15484278,2024-08-29 16:22:36,,,49.0,111.0,127.0,222.0,,,,,71.0,150.0,109.0,154.0,87.0,176.0,72.0,192.0,101.0,195.0,,,,2,no,,,62.5,
15484358,2024-08-29 16:22:36,,,50.0,112.0,128.0,223.0,,,,,72.0,151.0,109.0,154.0,88.0,176.0,73.0,193.0,102.0,195.0,,,,2,no,,,62.5,
15484368,2024-08-29 16:22:36,,,,,,,,,,,,,,,,,,,,,134.0,,,2,no,,,62.5,
15484438,2024-08-29 16:22:36,,,49.0,112.0,129.0,223.0,,,,,71.0,150.0,109.0,153.0,88.0,176.0,73.0,193.0,103.0,195.0,,,,2,no,,,62.5,
15484468,2024-08-29 16:22:37,,,,,,,,,,,,,,,,,,,,,134.0,,,2,no,,,62.5,
15484518,2024-08-29 16:22:37,,,49.0,108.0,130.0,224.0,,,,,71.0,150.0,110.0,153.0,88.0,175.0,73.0,193.0,103.0,196.0,,,,2,no,,,62.5,
15484568,2024-08-29 16:22:37,,,,,,,,,,,,,,,,,,,,,134.0,,,2,no,,,62.5,
15484598,2024-08-29 16:22:37,,,51.0,110.0,131.0,219.0,,,,,73.0,149.0,111.0,151.0,91.0,175.0,75.0,192.0,105.0,193.0,,,,2,no,,,62.5,
15484668,2024-08-29 16:22:37,,,,,,,485.0,482.0,483.0,483.0,,,,,,,,,,,,,,2,no,,,62.5,
15484678,2024-08-29 16:22:37,,,53.0,108.0,133.0,216.0,599.0,598.0,598.0,598.0,,,,,,,,,,,,,,2,no,,,62.5,
15484688,2024-08-29 16:22:37,483.0,598.0,,,,,,,,,75.0,147.0,113.0,149.0,93.0,173.0,77.0,190.0,107.0,192.0,,0.0,,2,no,,,62.5,
15484698,2024-08-29 16:22:37,,,,,,,,,,,,,,,,,,,,,135.0,,,2,no,,,62.5,
15484768,2024-08-29 16:22:37,,,56.0,106.0,134.0,212.0,,,,,77.0,145.0,115.0,147.0,94.0,169.0,79.0,187.0,110.0,189.0,135.0,,,2,no,,,62.5,
15484868,2024-08-29 16:22:37,,,,,,,,,,,,,,,,,,,,,135.0,,,2,no,,,62.5,
15484918,2024-08-29 16:22:37,,,61.0,100.0,139.0,211.0,,,,,84.0,140.0,121.0,141.0,103.0,164.0,88.0,183.0,116.0,184.0,,,,2,no,,,62.5,
15484968,2024-08-29 16:22:37,,,,,,,,,,,,,,,,,,,,,135.0,,,2,no,,,62.5,
15484998,2024-08-29 16:22:37,,,64.0,98.0,142.0,209.0,,,,,86.0,138.0,123.0,139.0,106.0,161.0,91.0,181.0,119.0,182.0,,,,2,no,,,62.5,
15485068,2024-08-29 16:22:37,,,,,,,,,,,,,,,,,,,,,135.0,,,2,no,,,62.5,
15485078,2024-08-29 16:22:37,,,71.0,100.0,144.0,205.0,,,,,90.0,137.0,125.0,138.0,109.0,158.0,94.0,179.0,121.0,180.0,,,,2,no,,,62.5,
15485158,2024-08-29 16:22:37,,,73.0,95.0,146.0,201.0,,,,,92.0,133.0,128.0,135.0,110.0,156.0,94.0,176.0,122.0,177.0,,,,2,no,,,62.5,
15485168,2024-08-29 16:22:37,,,,,,,,,,,,,,,,,,,,,,,,2,no,,,62.5,
15485178,2024-08-29 16:22:37,,,,,,,485.0,528.0,483.0,483.0,,,,,,,,,,,,,,2,no,,,62.5,
15485188,2024-08-29 16:22:37,,,,,,,599.0,629.0,598.0,598.0,,,,,,,,,,,,,,2,no,,,62.5,
15485198,2024-08-29 16:22:37,495.0,606.0,,,,,,,,,,,,,,,,,,,,0.0,,2,no,,,62.5,
15485208,2024-08-29 16:22:37,,,,,,,,,,,,,,,,,,,,,131.0,,,2,no,,,62.5,
15485248,2024-08-29 16:22:37,,,75.0,96.0,146.0,198.0,,,,,95.0,132.0,130.0,133.0,113.0,153.0,98.0,172.0,125.0,173.0,,,,2,no,,,62.5,
15485268,2024-08-29 16:22:37,,,,,,,,,,,,,,,,,,,,,131.0,,,2,no,,,62.5,
15485318,2024-08-29 16:22:37,,,77.0,91.0,149.0,195.0,,,,,98.0,130.0,133.0,131.0,116.0,151.0,103.0,170.0,128.0,171.0,,,,2,no,,,62.5,
15485368,2024-08-29 16:22:37,,,,,,,,,,,,,,,,,,,,,131.0,,,2,no,,,62.5,
15485398,2024-08-29 16:22:37,,,82.0,93.0,152.0,193.0,,,,,102.0,129.0,136.0,130.0,120.0,148.0,106.0,168.0,131.0,169.0,,,,2,no,,,62.5,
15485468,2024-08-29 16:22:37,,,,,,,,,,,,,,,,,,,,,131.0,,,2,no,,,62.5,
15485478,2024-08-29 16:22:37,,,85.0,90.0,156.0,189.0,,,,,105.0,127.0,139.0,128.0,122.0,146.0,109.0,165.0,133.0,167.0,,,,2,no,,,62.5,
15485558,2024-08-29 16:22:37,,,89.0,87.0,161.0,185.0,,,,,108.0,123.0,142.0,124.0,125.0,143.0,110.0,162.0,137.0,163.0,,,,2,no,,,62.5,
15485568,2024-08-29 16:22:37,,,,,,,,,,,,,,,,,,,,,131.0,,,2,no,,,62.5,
15485638,2024-08-29 16:22:37,,,90.0,89.0,163.0,188.0,,,,,111.0,123.0,145.0,124.0,129.0,142.0,114.0,163.0,141.0,163.0,,,,2,no,,,62.5,
15485668,2024-08-29 16:22:37,,,,,,,485.0,528.0,563.0,483.0,,,,,,,,,,,,,,2,no,,,62.5,
15485678,2024-08-29 16:22:37,,,,,,,599.0,629.0,661.0,598.0,,,,,,,,,,,,,,2,no,,,62.5,
15485688,2024-08-29 16:22:38,515.0,622.0,,,,,,,,,,,,,,,,,,,,0.0,,2,no,,,62.5,
15485688,2024-08-29 16:22:38,515.0,622.0,,,,,,,,,,,,,,,,,,,127.0,0.0,,2,no,,,62.5,
15485728,2024-08-29 16:22:38,,,95.0,86.0,168.0,185.0,,,,,114.0,122.0,149.0,124.0,131.0,143.0,117.0,162.0,144.0,163.0,,,,2,no,,,62.5,
15485768,2024-08-29 16:22:38,,,,,,,,,,,,,,,,,,,,,127.0,,,2,no,,,62.5,
15485798,2024-08-29 16:22:38,,,96.0,87.0,165.0,184.0,,,,,116.0,123.0,149.0,125.0,131.0,144.0,119.0,162.0,143.0,163.0,,,,2,no,,,62.5,
15485958,2024-08-29 16:22:38,,,96.0,93.0,165.0,184.0,,,,,114.0,127.0,148.0,129.0,128.0,150.0,116.0,163.0,143.0,165.0,,,,2,no,,,62.5,
15486038,2024-08-29 16:22:38,,,94.0,91.0,168.0,187.0,,,,,112.0,127.0,147.0,130.0,125.0,152.0,114.0,164.0,142.0,167.0,,,,2,no,,,62.5,
15486068,2024-08-29 16:22:38,,,,,,,,,,,,,,,,,,,,,127.0,,,2,no,,,62.5,
15486118,2024-08-29 16:22:38,,,92.0,93.0,166.0,187.0,,,,,111.0,129.0,146.0,131.0,125.0,153.0,114.0,165.0,142.0,167.0,,,,2,no,,,62.5,
15486168,2024-08-29 16:22:38,,,,,,,485.0,528.0,563.0,528.0,,,,,,,,,,,,,,2,no,,,62.5,
15486178,2024-08-29 16:22:38,,,,,,,599.0,629.0,661.0,629.0,,,,,,,,,,,,,,2,no,,,62.5,
15486188,2024-08-29 16:22:38,526.0,630.0,,,,,,,,,,,,,,,,,,,124.0,0.0,,2,no,,,62.5,
