timestamp,local_time,sensor_2,sensor_4,bbox_x1,bbox_y1,bbox_x2,bbox_y2,mv_1,mv_2,mv_3,mv_4,left_eye_x,left_eye_y,right_eye_x,right_eye_y,nose_x,nose_y,mouth_left_x,mouth_left_y,mouth_right_x,mouth_right_y,fhp,prediction,notes,user_id,alarm_notification,notification_interval,feedback,model_threshold,model_notes
15486868,2024-08-29 16:22:39,,,,,,,,,,,,,,,,,,,,,123,,,2,no,,,,
15486918,2024-08-29 16:22:39,,,90,89,168,194,,,,,114,128,151,130,132,155,115,169,147,170,,,,2,no,,,,
15486918,2024-08-29 16:22:39,,,90,89,168,194,,,,,114,128,151,130,132,155,115,169,147,170,,,,2,no,,,,
15486968,2024-08-29 16:22:39,,,,,,,,,,,,,,,,,,,,,123,,,2,no,,,,
15486998,2024-08-29 16:22:39,,,95,88,171,191,,,,,115,126,153,128,133,151,117,168,147,170,,,,2,no,,,,
15486998,2024-08-29 16:22:39,,,95,88,171,191,,,,,115,126,153,128,133,151,117,168,147,170,,,,2,no,,,,
15487068,2024-08-29 16:22:39,,,,,,,,,,,,,,,,,,,,,123,,,2,no,,,,
15487078,2024-08-29 16:22:39,,,93,84,172,190,,,,,117,123,156,126,137,149,120,166,149,168,,,,2,no,,,,
15487078,2024-08-29 16:22:39,,,93,84,172,190,,,,,117,123,156,126,137,149,120,166,149,168,,,,2,no,,,,
15487158,2024-08-29 16:22:39,,,96,82,173,186,,,,,120,120,157,123,139,145,121,162,150,164,,,,2,no,,,,
15487158,2024-08-29 16:22:39,,,96,82,173,186,,,,,120,120,157,123,139,145,121,162,150,164,,,,2,no,,,,
15487168,2024-08-29 16:22:39,,,,,,,,,,,,,,,,,,,,,,,,2,no,,,,
15487178,2024-08-29 16:22:39,,,,,,,487,493,563,528,,,,,,,,,,,,,,2,no,,,,
15487178,2024-08-29 16:22:39,,,,,,,487,493,563,528,,,,,,,,,,,,,,2,no,,,,
15487188,2024-08-29 16:22:39,,,,,,,599,597,661,629,,,,,,,,,,,,,,2,no,,,,
15487188,2024-08-29 16:22:39,,,,,,,599,597,661,629,,,,,,,,,,,,,,2,no,,,,
