update_graph() using 'Time' x-axis,update_graph() using 'Num Data' x-axis,update_graph() with new Theme yaru,default_update()
00:00:00:136,00:00:00:071,00:00:00:086,00:00:00:011
00:00:00:137,00:00:00:073,00:00:00:079,00:00:00:003
00:00:00:131,00:00:00:071,00:00:00:099,00:00:00:001
00:00:00:133,00:00:00:070,00:00:00:078,00:00:00:001
00:00:00:135,00:00:00:071,00:00:00:064,00:00:00:084
00:00:00:132,00:00:00:143,00:00:00:087,00:00:00:002
00:00:00:134,00:00:00:073,00:00:00:064,00:00:00:001
00:00:00:137,00:00:00:067,00:00:00:084,00:00:00:006
00:00:00:205,00:00:00:070,00:00:00:079,00:00:00:002
00:00:00:130,00:00:00:072,00:00:00:085,00:00:00:004
00:00:00:135,00:00:00:070,00:00:00:078,00:00:00:001
00:00:00:139,00:00:00:074,00:00:00:083,00:00:00:004
00:00:00:138,00:00:00:072,00:00:00:062,00:00:00:003
00:00:00:135,00:00:00:071,00:00:00:084,00:00:00:002
00:00:00:131,00:00:00:074,00:00:00:060,00:00:00:002
00:00:00:136,00:00:00:070,00:00:00:100,00:00:00:002
00:00:00:136,00:00:00:072,00:00:00:075,00:00:00:001
00:00:00:134,00:00:00:072,00:00:00:081,00:00:00:002
00:00:00:242,00:00:00:075,00:00:00:083,00:00:00:001
00:00:00:144,00:00:00:072,00:00:00:062,00:00:00:002
00:00:00:208,00:00:00:079,00:00:00:090,00:00:00:001
00:00:00:239,00:00:00:075,00:00:00:154,00:00:00:001
00:00:00:256,00:00:00:069,00:00:00:079,00:00:00:001
00:00:00:244,00:00:00:075,00:00:00:082,00:00:00:001
00:00:00:241,00:00:00:076,00:00:00:094,00:00:00:001
00:00:00:193,00:00:00:070,00:00:00:064,00:00:00:001
00:00:00:147,00:00:00:078,00:00:00:082,00:00:00:002
00:00:00:144,00:00:00:076,00:00:00:082,00:00:00:001
00:00:00:143,00:00:00:076,00:00:00:082,00:00:00:001
00:00:00:211,00:00:00:078,00:00:00:083,00:00:00:002
00:00:00:142,00:00:00:075,00:00:00:082,00:00:00:001
00:00:00:137,00:00:00:077,00:00:00:082,00:00:00:002
00:00:00:150,00:00:00:073,00:00:00:091,00:00:00:001
00:00:00:133,00:00:00:075,00:00:00:089,00:00:00:005
00:00:00:139,00:00:00:079,00:00:00:088,00:00:00:082
00:00:00:141,00:00:00:073,00:00:00:093,00:00:00:001
00:00:00:143,00:00:00:078,00:00:00:081,00:00:00:001
00:00:00:149,00:00:00:071,00:00:00:090,00:00:00:001
00:00:00:142,00:00:00:076,00:00:00:084,00:00:00:001
00:00:00:142,00:00:00:078,00:00:00:062,00:00:00:004
00:00:00:146,00:00:00:073,00:00:00:081,00:00:00:001
00:00:00:228,00:00:00:071,00:00:00:076,00:00:00:001
00:00:00:167,00:00:00:076,00:00:00:121,00:00:00:001
00:00:00:138,00:00:00:078,00:00:00:091,00:00:00:001
00:00:00:138,00:00:00:078,00:00:00:095,00:00:00:001
00:00:00:134,00:00:00:077,00:00:00:077,00:00:00:001
00:00:00:144,00:00:00:079,00:00:00:087,00:00:00:001
00:00:00:138,00:00:00:079,00:00:00:083,00:00:00:001
00:00:00:140,00:00:00:078,00:00:00:085,00:00:00:004
00:00:00:137,00:00:00:074,00:00:00:088,00:00:00:001
00:00:00:148,00:00:00:073,00:00:00:081,00:00:00:004
00:00:00:138,00:00:00:157,00:00:00:081,00:00:00:001
00:00:00:143,00:00:00:076,00:00:00:084,00:00:00:003
00:00:00:143,00:00:00:076,00:00:00:079,00:00:00:002
00:00:00:142,00:00:00:080,00:00:00:087,00:00:00:003
