timestamp,local_time,sensor_2,sensor_4,bbox_x1,bbox_y1,bbox_x2,bbox_y2,mv_1,mv_2,mv_3,mv_4,left_eye_x,left_eye_y,right_eye_x,right_eye_y,nose_x,nose_y,mouth_left_x,mouth_left_y,mouth_right_x,mouth_right_y,fhp,prediction,notes,user_id,alarm_notification,notification_interval,feedback,model_threshold,model_notes
7764808,2024-08-29 14:13:51,nan,nan,102,90,179,189,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-1,no,no,nan,nan
7764808,2024-08-29 14:13:51,nan,nan,102,90,179,189,nan,nan,nan,nan,124,129,159,129,141,150,130,165,158,164,nan,nan,-1,no,no,nan,nan
7764868,2024-08-29 14:13:51,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,121,nan,-1,no,no,nan,nan
7764888,2024-08-29 14:13:51,nan,nan,106,91,179,187,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-1,no,no,nan,nan
7764888,2024-08-29 14:13:51,nan,nan,106,91,179,187,nan,nan,nan,nan,126,130,161,131,143,153,130,166,159,167,nan,nan,-1,no,no,nan,nan
7764968,2024-08-29 14:13:51,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,121,nan,-1,no,no,nan,nan
7764968,2024-08-29 14:13:51,nan,nan,105,93,181,190,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,121,nan,-1,no,no,nan,nan
7764968,2024-08-29 14:13:51,nan,nan,105,93,181,190,nan,nan,nan,nan,130,136,164,133,150,154,134,169,163,167,121,nan,-1,no,no,nan,nan
7765048,2024-08-29 14:13:51,nan,nan,107,93,179,189,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-1,no,no,nan,nan
7765048,2024-08-29 14:13:51,nan,nan,107,93,179,189,nan,nan,nan,nan,129,133,163,133,147,153,133,168,160,169,nan,nan,-1,no,no,nan,nan
7765068,2024-08-29 14:13:52,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,121,nan,-1,no,no,nan,nan
7765128,2024-08-29 14:13:52,nan,nan,106,92,186,193,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-1,no,no,nan,nan
7765128,2024-08-29 14:13:52,nan,nan,106,92,186,193,nan,nan,nan,nan,129,135,166,134,147,155,133,170,163,170,nan,nan,-1,no,no,nan,nan
7765168,2024-08-29 14:13:52,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-1,no,no,nan,nan
7765168,2024-08-29 14:13:52,nan,nan,nan,nan,nan,nan,521,492,578,536,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-1,no,no,nan,nan
7765168,2024-08-29 14:13:52,nan,nan,nan,nan,nan,nan,521,492,578,536,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-1,no,no,nan,nan
7765178,2024-08-29 14:13:52,nan,nan,nan,nan,nan,nan,637,630,674,649,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-1,no,no,nan,nan
7765178,2024-08-29 14:13:52,nan,nan,nan,nan,nan,nan,637,630,674,649,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-1,no,no,nan,nan
7765188,2024-08-29 14:13:52,532,648,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,None,-1,no,no,nan,nan,
