timestamp,local_time,sensor_2,sensor_4,bbox_x1,bbox_y1,bbox_x2,bbox_y2,mv_1,mv_2,mv_3,mv_4,left_eye_x,left_eye_y,right_eye_x,right_eye_y,nose_x,nose_y,mouth_left_x,mouth_left_y,mouth_right_x,mouth_right_y,fhp,prediction,notes,user_id,bad_posture_command,alarm_notification,notification_interval,feedback,model_threshold,model_notes
3035809,2024-08-19 10:42:57,,,,,,,580,592,574,587,,,,,,,,,,,,,,2,no,no,,,,
3035819,2024-08-19 10:42:57,325,583,,,,,,,,,,,,,,,,,,,278,0,,2,no,yes,5,0,,
3035819,2024-08-19 10:42:57,325,583,,,,,,,,,,,,,,,,,,,278,0,,2,no,yes,5,0,,
3035859,2024-08-19 10:43:00,,,90,86,162,188,,,,,110,125,145,123,128,146,117,164,144,162,,,,2,no,no,,,,
3035859,2024-08-19 10:43:00,,,90,86,162,188,,,,,110,125,145,123,128,146,117,164,144,162,,,,2,no,no,,,,
3035899,2024-08-19 10:43:00,,,,,,,,,,,,,,,,,,,,,278,,,2,no,no,,,,
3035929,2024-08-19 10:43:00,,,90,85,162,186,,,,,110,124,145,122,127,145,116,162,143,161,,,,2,no,no,,,,
3035929,2024-08-19 10:43:00,,,90,85,162,186,,,,,110,124,145,122,127,145,116,162,143,161,,,,2,no,no,,,,
3035999,2024-08-19 10:43:00,,,,,,,,,,,,,,,,,,,,,278,,,2,no,no,,,,
3036009,2024-08-19 10:43:00,,,91,85,161,185,,,,,109,125,144,122,128,146,117,164,143,162,,,,2,no,no,,,,
3036009,2024-08-19 10:43:00,,,91,85,161,185,,,,,109,125,144,122,128,146,117,164,143,162,,,,2,no,no,,,,
3036089,2024-08-19 10:43:00,,,91,86,160,185,,,,,110,125,143,122,128,145,118,164,142,162,,,,2,no,no,,,,
3036089,2024-08-19 10:43:00,,,91,86,160,185,,,,,110,125,143,122,128,145,118,164,142,162,,,,2,no,no,,,,
3036099,2024-08-19 10:43:00,,,,,,,,,,,,,,,,,,,,,278,,,2,no,no,,,,
3036169,2024-08-19 10:43:00,,,91,87,161,186,,,,,110,125,144,123,128,146,117,164,142,162,,,,2,no,no,,,,
3036169,2024-08-19 10:43:00,,,91,87,161,186,,,,,110,125,144,123,128,146,117,164,142,162,,,,2,no,no,,,,
3036199,2024-08-19 10:43:00,,,,,,,,,,,,,,,,,,,,,278,,,2,no,no,,,,
3036249,2024-08-19 10:43:00,,,91,85,161,186,,,,,111,125,145,122,128,145,117,163,144,161,,,,2,no,no,,,,
3036249,2024-08-19 10:43:00,,,91,85,161,186,,,,,111,125,145,122,128,145,117,163,144,161,,,,2,no,no,,,,
3036299,2024-08-19 10:43:00,,,,,,,331,332,333,310,,,,,,,,,,,,,,2,no,no,,,,
3036299,2024-08-19 10:43:00,,,,,,,331,332,333,310,,,,,,,,,,,,,,2,no,no,,,,
3036309,2024-08-19 10:43:00,,,,,,,580,580,574,587,,,,,,,,,,,,,,2,no,no,,,,
3036309,2024-08-19 10:43:00,,,,,,,580,580,574,587,,,,,,,,,,,,,,2,no,no,,,,
3036309,2024-08-19 10:43:00,,,,,,,580,580,574,587,,,,,,,,,,,,,,2,no,no,,,,
3036319,2024-08-19 10:43:00,327,580,,,,,,,,,,,,,,,,,,,,0,,2,no,no,,,,
3036329,2024-08-19 10:43:01,,,92,86,164,185,,,,,,,,,,,,,,,273,,,2,no,no,,,,
3036329,2024-08-19 10:43:01,,,92,86,164,185,,,,,,,,,,,,,,,273,,,2,no,no,,,,
3036339,2024-08-19 10:43:01,,,,,,,,,,,111,125,146,122,130,144,119,163,143,161,,,,2,no,no,,,,
3036399,2024-08-19 10:43:01,,,,,,,,,,,,,,,,,,,,,273,,,2,no,no,,,,
3036409,2024-08-19 10:43:01,,,92,85,164,187,,,,,111,125,146,123,129,146,118,164,145,162,,,,2,no,no,,,,
3036409,2024-08-19 10:43:01,,,92,85,164,187,,,,,111,125,146,123,129,146,118,164,145,162,,,,2,no,no,,,,
3036489,2024-08-19 10:43:01,,,92,86,164,185,,,,,112,124,146,122,130,145,118,163,144,161,,,,2,no,no,,,,
3036489,2024-08-19 10:43:01,,,92,86,164,185,,,,,112,124,146,122,130,145,118,163,144,161,,,,2,no,no,,,,
3036499,2024-08-19 10:43:01,,,,,,,,,,,,,,,,,,,,,273,,,2,no,no,,,,
3036569,2024-08-19 10:43:01,,,93,87,162,185,,,,,112,125,146,123,130,145,119,163,144,162,,,,2,no,no,,,,
3036569,2024-08-19 10:43:01,,,93,87,162,185,,,,,112,125,146,123,130,145,119,163,144,162,,,,2,no,no,,,,
3036599,2024-08-19 10:43:01,,,,,,,,,,,,,,,,,,,,,273,,,2,no,no,,,,
3036649,2024-08-19 10:43:01,,,92,86,163,184,,,,,111,124,146,122,129,145,119,162,144,160,,,,2,no,no,,,,
3036649,2024-08-19 10:43:01,,,92,86,163,184,,,,,111,124,146,122,129,145,119,162,144,160,,,,2,no,no,,,,
3036699,2024-08-19 10:43:01,,,,,,,,,,,,,,,,,,,,,273,,,2,no,no,,,,
3036729,2024-08-19 10:43:01,,,92,86,163,184,,,,,112,125,146,123,130,144,118,162,144,161,,,,2,no,no,,,,
3036729,2024-08-19 10:43:01,,,92,86,163,184,,,,,112,125,146,123,130,144,118,162,144,161,,,,2,no,no,,,,
3036799,2024-08-19 10:43:01,,,,,,,331,332,335,310,,,,,,,,,,,,,,2,no,no,,,,
3036799,2024-08-19 10:43:01,,,,,,,331,332,335,310,,,,,,,,,,,,,,2,no,no,,,,
3036809,2024-08-19 10:43:01,,,92,86,163,184,580,580,587,587,,,,,,,,,,,,,,2,no,no,,,,
3036809,2024-08-19 10:43:01,,,92,86,163,184,580,580,587,587,,,,,,,,,,,,,,2,no,no,,,,
3036809,2024-08-19 10:43:01,,,92,86,163,184,580,580,587,587,,,,,,,,,,,,,,2,no,no,,,,
3036819,2024-08-19 10:43:01,,,,,,,,,,,111,124,146,121,129,145,118,162,144,160,,,,2,no,no,,,,
3036819,2024-08-19 10:43:01,,,,,,,,,,,111,124,146,121,129,145,118,162,144,160,,,,2,no,no,,,,
3036839,2024-08-19 10:43:01,327,584,,,,,,,,,,,,,,,,,,,,0,,2,no,no,,,,
