,Time,Sensor 2,Sensor 4,Notes
0,2024-08-19 10:42:34,334,598,??
1,2024-08-19 10:42:37,331,598,??
2,2024-08-19 10:42:29,329,594,??
3,2024-08-19 10:42:29,329,594,??
4,2024-08-19 10:42:39,330,591,??
5,2024-08-19 10:42:39,330,591,??
6,2024-08-19 10:42:40,328,592,??
7,2024-08-19 10:42:30,326,593,??
8,2024-08-19 10:42:30,326,586,??
9,2024-08-19 10:42:30,326,586,??
10,2024-08-19 10:42:26,325,572,??
11,2024-08-19 10:42:26,325,572,??
12,2024-08-19 10:42:42,327,561,??
13,2024-08-19 10:42:29,324,546,??
14,2024-08-19 10:42:27,323,542,??
15,2024-08-19 10:42:27,323,542,??
16,2024-08-19 10:42:27,322,543,??
17,2024-08-19 10:42:27,323,543,??
18,2024-08-19 10:42:28,321,537,??
19,2024-08-19 10:42:30,326,534,??
20,2024-08-19 10:42:30,326,534,??
21,2024-08-19 10:42:29,329,530,??
22,2024-08-19 10:42:29,329,522,??
23,2024-08-19 10:42:33,336,540,??
24,2024-08-19 10:42:34,338,555,??
25,2024-08-19 10:42:34,338,555,??
26,2024-08-19 10:42:49,337,572,??
27,2024-08-19 10:42:49,337,587,??
28,2024-08-19 10:42:34,334,586,??
29,2024-08-19 10:42:34,334,586,??
30,2024-08-19 10:42:30,326,582,??
31,2024-08-19 10:42:29,324,585,??
32,2024-08-19 10:42:26,325,587,??
33,2024-08-19 10:42:26,325,587,??
34,2024-08-19 10:42:27,323,589,??
35,2024-08-19 10:42:27,323,589,??
36,2024-08-19 10:42:29,324,591,??
37,2024-08-19 10:42:26,325,588,??
38,2024-08-19 10:42:27,322,586,??
39,2024-08-19 10:42:26,325,583,??
40,2024-08-19 10:42:26,325,583,??
