,Time,Sensor 2,Sensor 4,Notes
0,2024-08-19 10:51:14,296,534,?0
1,2024-08-19 10:51:15,300,532,?0
2,2024-08-19 10:51:13,302,546,?0
3,2024-08-19 10:51:13,309,561,?0
4,2024-08-19 10:51:12,310,579,?0
5,2024-08-19 10:51:17,313,595,?0
6,2024-08-19 10:51:18,319,595,?0
7,2024-08-19 10:51:18,317,601,?0
8,2024-08-19 10:51:18,317,601,?0
9,2024-08-19 10:51:19,325,596,?0
10,2024-08-19 10:51:19,327,592,?0
11,2024-08-19 10:51:20,330,587,?0
12,2024-08-19 10:51:20,337,578,?0
13,2024-08-19 10:51:20,337,578,?0
14,2024-08-19 10:51:21,338,569,?0
15,2024-08-19 10:51:21,343,563,?0
16,2024-08-19 10:51:22,341,555,?0
17,2024-08-19 10:51:22,340,552,?0
18,2024-08-19 10:51:22,340,552,?0
19,2024-08-19 10:51:23,339,556,?0
20,2024-08-19 10:51:20,337,559,?0
21,2024-08-19 10:51:24,335,569,?0
22,2024-08-19 10:51:20,330,578,?0
23,2024-08-19 10:51:20,330,578,?0
24,2024-08-19 10:51:25,331,581,?0
25,2024-08-19 10:51:25,331,581,?0
26,2024-08-19 10:51:28,326,584,?0
27,2024-08-19 10:51:29,329,585,?0
28,2024-08-19 10:51:29,333,581,?0
29,2024-08-19 10:51:29,333,585,?0
30,2024-08-19 10:51:29,333,585,?0
31,2024-08-19 10:51:18,319,597,00
32,2024-08-19 10:51:51,328,595,00
33,2024-08-19 10:51:51,328,595,00
34,2024-08-19 10:51:19,325,592,00
35,2024-08-19 10:51:59,324,590,00
36,2024-08-19 10:52:00,323,589,00
37,2024-08-19 10:51:51,322,590,00
38,2024-08-19 10:51:51,322,590,00
39,2024-08-19 10:51:52,321,592,00
40,2024-08-19 10:51:52,321,592,00
41,2024-08-19 10:51:52,321,592,00
42,2024-08-19 10:51:14,293,590,00
43,2024-08-19 10:51:14,293,590,00
44,2024-08-19 10:51:14,296,589,00
45,2024-08-19 10:51:14,296,589,00
46,2024-08-19 10:52:07,294,589,00
47,2024-08-19 10:52:07,295,590,00
48,2024-08-19 10:51:14,293,593,00
49,2024-08-19 10:52:07,294,595,00
50,2024-08-19 10:52:07,294,595,00
51,2024-08-19 10:52:12,289,592,00
52,2024-08-19 10:52:14,284,595,00
53,2024-08-19 10:52:15,285,593,00
54,2024-08-19 10:52:15,282,594,00
55,2024-08-19 10:52:15,282,594,00
56,2024-08-19 10:52:16,286,600,00
57,2024-08-19 10:52:12,289,596,00
