timestamp,local_time,sensor_2,sensor_4,bbox_x1,bbox_y1,bbox_x2,bbox_y2,mv_1,mv_2,mv_3,mv_4,left_eye_x,left_eye_y,right_eye_x,right_eye_y,nose_x,nose_y,mouth_left_x,mouth_left_y,mouth_right_x,mouth_right_y,fhp,prediction,notes,user_id,bad_posture_command,alarm_notification,notification_interval,feedback,model_threshold,model_notes
2994194,2024-08-27 15:18:24,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,147,nan,,2,no,no,nan,nan
2994254,2024-08-27 15:18:24,nan,nan,68,108,144,210,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,2,no,no,nan,nan
2994254,2024-08-27 15:18:24,nan,nan,68,108,144,210,nan,nan,nan,nan,89,149,124,143,112,168,100,188,128,182,nan,nan,,2,no,no,nan,nan
2994294,2024-08-27 15:18:24,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,147,nan,,2,no,no,nan,nan
2994334,2024-08-27 15:18:24,nan,nan,67,107,144,209,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,2,no,no,nan,nan
2994344,2024-08-27 15:18:24,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,89,149,125,142,114,168,101,188,128,182,nan,nan,,2,no,no,nan,nan
2994394,2024-08-27 15:18:24,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,147,nan,,2,no,no,nan,nan
2994414,2024-08-27 15:18:24,nan,nan,69,108,143,208,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,2,no,no,nan,nan
2994424,2024-08-27 15:18:24,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,90,149,124,143,112,168,101,186,126,181,nan,nan,,2,no,no,nan,nan
2994494,2024-08-27 15:18:24,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,2,no,no,nan,nan
2994494,2024-08-27 15:18:24,nan,nan,nan,nan,nan,nan,408,426,443,447,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,2,no,no,nan,nan
2994494,2024-08-27 15:18:24,nan,nan,nan,nan,nan,nan,408,426,443,447,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,2,no,no,nan,nan
2994504,2024-08-27 15:18:24,nan,nan,68,106,145,209,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,2,no,no,nan,nan
2994504,2024-08-27 15:18:24,nan,nan,68,106,145,209,554,559,551,551,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,2,no,no,nan,nan
2994514,2024-08-27 15:18:24,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,90,149,125,142,113,168,102,189,128,182,nan,nan,,2,no,no,nan,nan
2994514,2024-08-27 15:18:24,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,90,149,125,142,113,168,102,189,128,182,nan,nan,,2,no,no,nan,nan
2994534,2024-08-27 15:18:24,431,554,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,,2,no,no,nan,nan
2994534,2024-08-27 15:18:24,431,554,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,143,0,,2,no,no,nan,nan
2994584,2024-08-27 15:18:24,nan,nan,68,108,142,208,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,2,no,no,nan,nan
2994584,2024-08-27 15:18:24,nan,nan,68,108,142,208,nan,nan,nan,nan,89,150,125,143,114,169,102,188,128,182,nan,nan,,2,no,no,nan,nan
2994594,2024-08-27 15:18:24,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,143,nan,,2,no,no,nan,nan
2994694,2024-08-27 15:18:24,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,143,nan,,2,no,no,nan,nan
2994734,2024-08-27 15:18:24,nan,nan,68,107,142,208,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,2,no,no,nan,nan
2994734,2024-08-27 15:18:24,nan,nan,68,107,142,208,nan,nan,nan,nan,89,149,124,142,113,168,101,187,127,181,nan,nan,,2,no,no,nan,nan
2994794,2024-08-27 15:18:24,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,143,nan,,2,no,no,nan,nan
2994814,2024-08-27 15:18:24,nan,nan,67,106,143,209,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,2,no,no,nan,nan
2994814,2024-08-27 15:18:24,nan,nan,67,106,143,209,nan,nan,nan,nan,88,149,125,141,113,168,101,188,129,181,nan,nan,,2,no,no,nan,nan
2994894,2024-08-27 15:18:24,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,143,nan,,2,no,no,nan,nan
2994894,2024-08-27 15:18:24,nan,nan,68,107,144,209,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,143,nan,,2,no,no,nan,nan
2994894,2024-08-27 15:18:24,nan,nan,68,107,144,209,nan,nan,nan,nan,90,149,124,142,112,167,101,188,127,182,143,nan,,2,no,no,nan,nan
2994974,2024-08-27 15:18:24,nan,nan,68,107,142,207,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,2,no,no,nan,nan
2994974,2024-08-27 15:18:24,nan,nan,68,107,142,207,nan,nan,nan,nan,90,148,124,141,114,167,101,186,128,181,nan,nan,,2,no,no,nan,nan
2994994,2024-08-27 15:18:24,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,2,no,no,nan,nan
