timestamp,local_time,sensor_2,sensor_4,bbox_x1,bbox_y1,bbox_x2,bbox_y2,mv_1,mv_2,mv_3,mv_4,left_eye_x,left_eye_y,right_eye_x,right_eye_y,nose_x,nose_y,mouth_left_x,mouth_left_y,mouth_right_x,mouth_right_y,fhp,prediction,notes,user_id,bad_posture_command,alarm_notification,notification_interval,feedback,model_threshold,model_notes
2427399,2024-08-19 10:32:48,,,,,,,,,,,,,,,,,,,,,274,,,2,no,no,,,,
2427449,2024-08-19 10:32:48,,,56,92,128,190,,,,,,,,,,,,,,,,,,2,no,no,,,,
2427449,2024-08-19 10:32:48,,,56,92,128,190,,,,,,,,,,,,,,,,,,2,no,no,,,,
2427499,2024-08-19 10:32:48,,,,,,,,,,,,,,,,,,,,,274,,,2,no,no,,,,
2427529,2024-08-19 10:32:48,,,53,89,126,189,,,,,,,,,,,,,,,,,,2,no,no,,,,
2427529,2024-08-19 10:32:48,,,53,89,126,189,,,,,,,,,,,,,,,,,,2,no,no,,,,
2427599,2024-08-19 10:32:48,,,,,,,,,,,,,,,,,,,,,274,,,2,no,no,,,,
2427609,2024-08-19 10:32:48,,,51,87,124,187,,,,,,,,,,,,,,,,,,2,no,no,,,,
2427609,2024-08-19 10:32:48,,,51,87,124,187,,,,,,,,,,,,,,,,,,2,no,no,,,,
2427689,2024-08-19 10:32:48,,,49,88,121,187,,,,,,,,,,,,,,,,,,2,no,no,,,,
2427689,2024-08-19 10:32:48,,,49,88,121,187,,,,,,,,,,,,,,,,,,2,no,no,,,,
2427699,2024-08-19 10:32:48,,,,,,,,,,,,,,,,,,,,,274,,,2,no,no,,,,
2427769,2024-08-19 10:32:48,,,46,89,117,183,,,,,,,,,,,,,,,,,,2,no,no,,,,
2427769,2024-08-19 10:32:48,,,46,89,117,183,,,,,,,,,,,,,,,,,,2,no,no,,,,
2427799,2024-08-19 10:32:48,,,,,,,309,318,310,323,,,,,,,,,,,,,,2,no,no,,,,
2427799,2024-08-19 10:32:48,,,,,,,309,318,310,323,,,,,,,,,,,,,,2,no,no,,,,
2427809,2024-08-19 10:32:48,,,,,,,573,572,545,547,,,,,,,,,,,,,,2,no,no,,,,
2427809,2024-08-19 10:32:48,,,,,,,573,572,545,547,,,,,,,,,,,,,,2,no,no,,,,
2427809,2024-08-19 10:32:48,,,,,,,573,572,545,547,,,,,,,,,,,,,,2,no,no,,,,
2427819,2024-08-19 10:32:48,315,559,,,,,,,,,,,,,,,,,,,,0,,2,no,no,,,,
2427829,2024-08-19 10:32:48,,,,,,,,,,,,,,,,,,,,,264,,,2,no,no,,,,
2427859,2024-08-19 10:32:48,,,44,90,115,187,,,,,,,,,,,,,,,,,,2,no,no,,,,
2427859,2024-08-19 10:32:48,,,44,90,115,187,,,,,,,,,,,,,,,,,,2,no,no,,,,
2427899,2024-08-19 10:32:49,,,,,,,,,,,,,,,,,,,,,264,,,2,no,no,,,,
2427929,2024-08-19 10:32:49,,,42,90,109,183,,,,,,,,,,,,,,,,,,2,no,no,,,,
2427929,2024-08-19 10:32:49,,,42,90,109,183,,,,,,,,,,,,,,,,,,2,no,no,,,,
2427999,2024-08-19 10:32:49,,,,,,,,,,,,,,,,,,,,,264,,,2,no,no,,,,
2428009,2024-08-19 10:32:49,,,39,89,106,181,,,,,,,,,,,,,,,,,,2,no,no,,,,
2428009,2024-08-19 10:32:49,,,39,89,106,181,,,,,,,,,,,,,,,,,,2,no,no,,,,
2428089,2024-08-19 10:32:49,,,39,90,107,183,,,,,,,,,,,,,,,,,,2,no,no,,,,
2428089,2024-08-19 10:32:49,,,39,90,107,183,,,,,,,,,,,,,,,,,,2,no,no,,,,
2428099,2024-08-19 10:32:49,,,,,,,,,,,,,,,,,,,,,264,,,2,no,no,,,,
2428169,2024-08-19 10:32:49,,,40,88,109,181,,,,,,,,,,,,,,,,,,2,no,no,,,,
2428169,2024-08-19 10:32:49,,,40,88,109,181,,,,,,,,,,,,,,,,,,2,no,no,,,,
2428199,2024-08-19 10:32:49,,,,,,,,,,,,,,,,,,,,,264,,,2,no,no,,,,
2428249,2024-08-19 10:32:49,,,38,88,107,179,,,,,,,,,,,,,,,,,,2,no,no,,,,
2428249,2024-08-19 10:32:49,,,38,88,107,179,,,,,,,,,,,,,,,,,,2,no,no,,,,
2428299,2024-08-19 10:32:49,,,,,,,309,295,310,323,,,,,,,,,,,,,,2,no,no,,,,
2428299,2024-08-19 10:32:49,,,,,,,309,295,310,323,,,,,,,,,,,,,,2,no,no,,,,
2428309,2024-08-19 10:32:49,,,,,,,573,582,545,547,,,,,,,,,,,,,,2,no,no,,,,
2428309,2024-08-19 10:32:49,,,,,,,573,582,545,547,,,,,,,,,,,,,,2,no,no,,,,
2428309,2024-08-19 10:32:49,,,,,,,573,582,545,547,,,,,,,,,,,,,,2,no,no,,,,
2428319,2024-08-19 10:32:49,309,562,,,,,,,,,,,,,,,,,,,,0,,2,no,no,,,,
2428329,2024-08-19 10:32:49,,,40,87,110,179,,,,,,,,,,,,,,,273,,,2,no,no,,,,
2428329,2024-08-19 10:32:49,,,40,87,110,179,,,,,,,,,,,,,,,273,,,2,no,no,,,,
2428339,2024-08-19 10:32:49,,,,,,,,,,,,,,,,,,,,,,,,2,no,no,,,,
2428399,2024-08-19 10:32:49,,,,,,,,,,,,,,,,,,,,,273,,,2,no,no,,,,
2428409,2024-08-19 10:32:49,,,43,84,113,180,,,,,,,,,,,,,,,,,,2,no,no,,,,
2428409,2024-08-19 10:32:49,,,43,84,113,180,,,,,,,,,,,,,,,,,,2,no,no,,,,
2428489,2024-08-19 10:32:49,,,45,85,115,181,,,,,,,,,,,,,,,,,,2,no,no,,,,
