timestamp,local_time,sensor_2,sensor_4,bbox_x1,bbox_y1,bbox_x2,bbox_y2,mv_1,mv_2,mv_3,mv_4,left_eye_x,left_eye_y,right_eye_x,right_eye_y,nose_x,nose_y,mouth_left_x,mouth_left_y,mouth_right_x,mouth_right_y,fhp,prediction,notes,user_id,bad_posture_command,alarm_notification,notification_interval,feedback,model_threshold,model_notes
1783319,2024-08-19 10:22:05,17,27,,,,,,,,,,,,,,,,,,,,1,,2,no,no,,,,
1783799,2024-08-19 10:22:05,,,,,,,40,16,21,11,,,,,,,,,,,,,,2,no,no,,,,
1783799,2024-08-19 10:22:05,,,,,,,40,16,21,11,,,,,,,,,,,,,,2,no,no,,,,
1783809,2024-08-19 10:22:05,,,,,,,34,40,17,24,,,,,,,,,,,,,,2,no,no,,,,
1783809,2024-08-19 10:22:05,,,,,,,34,40,17,24,,,,,,,,,,,,,,2,no,no,,,,
1783809,2024-08-19 10:22:05,,,,,,,34,40,17,24,,,,,,,,,,,,,,2,no,no,,,,
1783819,2024-08-19 10:22:05,22,29,,,,,,,,,,,,,,,,,,,,1,,2,no,no,,,,
1784299,2024-08-19 10:22:06,,,,,,,40,4,21,11,,,,,,,,,,,,,,2,no,no,,,,
1784299,2024-08-19 10:22:06,,,,,,,40,4,21,11,,,,,,,,,,,,,,2,no,no,,,,
1784309,2024-08-19 10:22:06,,,,,,,34,30,17,24,,,,,,,,,,,,,,2,no,no,,,,
1784309,2024-08-19 10:22:06,,,,,,,34,30,17,24,,,,,,,,,,,,,,2,no,no,,,,
1784309,2024-08-19 10:22:06,,,,,,,34,30,17,24,,,,,,,,,,,,,,2,no,no,,,,
1784319,2024-08-19 10:22:06,19,26,,,,,,,,,,,,,,,,,,,,1,,2,no,no,,,,
1784799,2024-08-19 10:22:06,,,,,,,40,4,24,11,,,,,,,,,,,,,,2,no,no,,,,
1784799,2024-08-19 10:22:06,,,,,,,40,4,24,11,,,,,,,,,,,,,,2,no,no,,,,
1784809,2024-08-19 10:22:06,,,,,,,34,30,12,24,,,,,,,,,,,,,,2,no,no,,,,
1784809,2024-08-19 10:22:06,,,,,,,34,30,12,24,,,,,,,,,,,,,,2,no,no,,,,
1784809,2024-08-19 10:22:06,,,,,,,34,30,12,24,,,,,,,,,,,,,,2,no,no,,,,
1784819,2024-08-19 10:22:06,20,25,,,,,,,,,,,,,,,,,,,,1,,2,no,no,,,,
1785299,2024-08-19 10:22:07,,,,,,,40,4,24,1,,,,,,,,,,,,,,2,no,no,,,,
1785299,2024-08-19 10:22:07,,,,,,,40,4,24,1,,,,,,,,,,,,,,2,no,no,,,,
1785309,2024-08-19 10:22:07,,,,,,,34,30,12,30,,,,,,,,,,,,,,2,no,no,,,,
1785309,2024-08-19 10:22:07,,,,,,,34,30,12,30,,,,,,,,,,,,,,2,no,no,,,,
1785309,2024-08-19 10:22:07,,,,,,,34,30,12,30,,,,,,,,,,,,,,2,no,no,,,,
1785319,2024-08-19 10:22:07,17,27,,,,,,,,,,,,,,,,,,,,1,,2,no,no,,,,
1785799,2024-08-19 10:22:07,,,,,,,20,4,24,1,,,,,,,,,,,,,,2,no,no,,,,
1785799,2024-08-19 10:22:07,,,,,,,20,4,24,1,,,,,,,,,,,,,,2,no,no,,,,
1785809,2024-08-19 10:22:07,,,,,,,54,30,12,30,,,,,,,,,,,,,,2,no,no,,,,
1785809,2024-08-19 10:22:07,,,,,,,54,30,12,30,,,,,,,,,,,,,,2,no,no,,,,
1785809,2024-08-19 10:22:07,,,,,,,54,30,12,30,,,,,,,,,,,,,,2,no,no,,,,
1785819,2024-08-19 10:22:07,12,32,,,,,,,,,,,,,,,,,,,,1,,2,no,no,,,,
1786299,2024-08-19 10:22:08,,,,,,,20,19,24,1,,,,,,,,,,,,,,2,no,no,,,,
1786299,2024-08-19 10:22:08,,,,,,,20,19,24,1,,,,,,,,,,,,,,2,no,no,,,,
1786309,2024-08-19 10:22:08,,,,,,,54,17,12,30,,,,,,,,,,,,,,2,no,no,,,,
1786309,2024-08-19 10:22:08,,,,,,,54,17,12,30,,,,,,,,,,,,,,2,no,no,,,,
1786309,2024-08-19 10:22:08,,,,,,,54,17,12,30,,,,,,,,,,,,,,2,no,no,,,,
1786319,2024-08-19 10:22:08,16,28,,,,,,,,,,,,,,,,,,,,1,,2,no,no,,,,
1786799,2024-08-19 10:22:08,,,,,,,20,19,37,1,,,,,,,,,,,,,,2,no,no,,,,
1786799,2024-08-19 10:22:08,,,,,,,20,19,37,1,,,,,,,,,,,,,,2,no,no,,,,
1786809,2024-08-19 10:22:08,,,,,,,54,17,32,30,,,,,,,,,,,,,,2,no,no,,,,
1786809,2024-08-19 10:22:08,,,,,,,54,17,32,30,,,,,,,,,,,,,,2,no,no,,,,
1786809,2024-08-19 10:22:08,,,,,,,54,17,32,30,,,,,,,,,,,,,,2,no,no,,,,
1786819,2024-08-19 10:22:08,19,33,,,,,,,,,,,,,,,,,,,,1,,2,no,no,,,,
1787299,2024-08-19 10:22:09,,,,,,,20,19,37,17,,,,,,,,,,,,,,2,no,no,,,,
1787299,2024-08-19 10:22:09,,,,,,,20,19,37,17,,,,,,,,,,,,,,2,no,no,,,,
1787309,2024-08-19 10:22:09,,,,,,,54,17,32,25,,,,,,,,,,,,,,2,no,no,,,,
1787309,2024-08-19 10:22:09,,,,,,,54,17,32,25,,,,,,,,,,,,,,2,no,no,,,,
1787309,2024-08-19 10:22:09,,,,,,,54,17,32,25,,,,,,,,,,,,,,2,no,no,,,,
1787319,2024-08-19 10:22:09,23,32,,,,,,,,,,,,,,,,,,,,1,,2,no,no,,,,
1787799,2024-08-19 10:22:09,,,,,,,,,,,,,,,,,,,,,,,,2,no,no,,,,
