timestamp,local_time,sensor_2,sensor_4,bbox_x1,bbox_y1,bbox_x2,bbox_y2,mv_1,mv_2,mv_3,mv_4,left_eye_x,left_eye_y,right_eye_x,right_eye_y,nose_x,nose_y,mouth_left_x,mouth_left_y,mouth_right_x,mouth_right_y,fhp,prediction,notes,user_id,bad_posture_command,alarm_notification,notification_interval,feedback,model_threshold,model_notes
2254309,2024-08-19 10:29:55,,,,,,,15,37,16,31,,,,,,,,,,,,,,2,no,no,,,,
2254309,2024-08-19 10:29:55,,,,,,,15,37,16,31,,,,,,,,,,,,,,2,no,no,,,,
2254319,2024-08-19 10:29:55,19,25,,,,,,,,,,,,,,,,,,,,1,,2,no,no,,,,
2254799,2024-08-19 10:29:55,,,,,,,41,22,28,5,,,,,,,,,,,,,,2,no,no,,,,
2254799,2024-08-19 10:29:55,,,,,,,41,22,28,5,,,,,,,,,,,,,,2,no,no,,,,
2254809,2024-08-19 10:29:55,,,,,,,15,37,30,31,,,,,,,,,,,,,,2,no,no,,,,
2254809,2024-08-19 10:29:55,,,,,,,15,37,30,31,,,,,,,,,,,,,,2,no,no,,,,
2254809,2024-08-19 10:29:55,,,,,,,15,37,30,31,,,,,,,,,,,,,,2,no,no,,,,
2254819,2024-08-19 10:29:55,24,28,,,,,,,,,,,,,,,,,,,,1,,2,no,no,,,,
2255299,2024-08-19 10:29:56,,,,,,,41,22,28,27,,,,,,,,,,,,,,2,no,no,,,,
2255299,2024-08-19 10:29:56,,,,,,,41,22,28,27,,,,,,,,,,,,,,2,no,no,,,,
2255309,2024-08-19 10:29:56,,,,,,,15,37,30,14,,,,,,,,,,,,,,2,no,no,,,,
2255309,2024-08-19 10:29:56,,,,,,,15,37,30,14,,,,,,,,,,,,,,2,no,no,,,,
2255309,2024-08-19 10:29:56,,,,,,,15,37,30,14,,,,,,,,,,,,,,2,no,no,,,,
2255319,2024-08-19 10:29:56,30,24,,,,,,,,,,,,,,,,,,,,1,,2,no,no,,,,
2255799,2024-08-19 10:29:56,,,,,,,5,22,28,27,,,,,,,,,,,,,,2,no,no,,,,
2255799,2024-08-19 10:29:56,,,,,,,5,22,28,27,,,,,,,,,,,,,,2,no,no,,,,
2255809,2024-08-19 10:29:56,,,,,,,23,37,30,14,,,,,,,,,,,,,,2,no,no,,,,
2255809,2024-08-19 10:29:56,,,,,,,23,37,30,14,,,,,,,,,,,,,,2,no,no,,,,
2255809,2024-08-19 10:29:56,,,,,,,23,37,30,14,,,,,,,,,,,,,,2,no,no,,,,
2255819,2024-08-19 10:29:56,21,26,,,,,,,,,,,,,,,,,,,,1,,2,no,no,,,,
2256299,2024-08-19 10:29:57,,,,,,,5,26,28,27,,,,,,,,,,,,,,2,no,no,,,,
2256299,2024-08-19 10:29:57,,,,,,,5,26,28,27,,,,,,,,,,,,,,2,no,no,,,,
2256309,2024-08-19 10:29:57,,,,,,,23,29,30,14,,,,,,,,,,,,,,2,no,no,,,,
2256309,2024-08-19 10:29:57,,,,,,,23,29,30,14,,,,,,,,,,,,,,2,no,no,,,,
2256309,2024-08-19 10:29:57,,,,,,,23,29,30,14,,,,,,,,,,,,,,2,no,no,,,,
2256319,2024-08-19 10:29:57,22,24,,,,,,,,,,,,,,,,,,,,1,,2,no,no,,,,
2256799,2024-08-19 10:29:57,,,,,,,5,26,11,27,,,,,,,,,,,,,,2,no,no,,,,
2256799,2024-08-19 10:29:57,,,,,,,5,26,11,27,,,,,,,,,,,,,,2,no,no,,,,
2256809,2024-08-19 10:29:57,,,,,,,23,29,28,14,,,,,,,,,,,,,,2,no,no,,,,
2256809,2024-08-19 10:29:57,,,,,,,23,29,28,14,,,,,,,,,,,,,,2,no,no,,,,
2256809,2024-08-19 10:29:57,,,,,,,23,29,28,14,,,,,,,,,,,,,,2,no,no,,,,
2256819,2024-08-19 10:29:57,17,24,,,,,,,,,,,,,,,,,,,,1,,2,no,no,,,,
2257299,2024-08-19 10:29:58,,,,,,,5,26,11,19,,,,,,,,,,,,,,2,no,no,,,,
2257299,2024-08-19 10:29:58,,,,,,,5,26,11,19,,,,,,,,,,,,,,2,no,no,,,,
2257309,2024-08-19 10:29:58,,,,,,,23,29,28,49,,,,,,,,,,,,,,2,no,no,,,,
2257309,2024-08-19 10:29:58,,,,,,,23,29,28,49,,,,,,,,,,,,,,2,no,no,,,,
2257309,2024-08-19 10:29:58,,,,,,,23,29,28,49,,,,,,,,,,,,,,2,no,no,,,,
2257319,2024-08-19 10:29:58,15,32,,,,,,,,,,,,,,,,,,,,1,,2,no,no,,,,
2257799,2024-08-19 10:29:58,,,,,,,26,26,11,19,,,,,,,,,,,,,,2,no,no,,,,
2257799,2024-08-19 10:29:58,,,,,,,26,26,11,19,,,,,,,,,,,,,,2,no,no,,,,
2257809,2024-08-19 10:29:58,,,,,,,10,29,28,49,,,,,,,,,,,,,,2,no,no,,,,
2257809,2024-08-19 10:29:58,,,,,,,10,29,28,49,,,,,,,,,,,,,,2,no,no,,,,
2257809,2024-08-19 10:29:58,,,,,,,10,29,28,49,,,,,,,,,,,,,,2,no,no,,,,
2257819,2024-08-19 10:29:58,21,29,,,,,,,,,,,,,,,,,,,,1,,2,no,no,,,,
2258299,2024-08-19 10:29:59,,,,,,,26,14,11,19,,,,,,,,,,,,,,2,no,no,,,,
2258299,2024-08-19 10:29:59,,,,,,,26,14,11,19,,,,,,,,,,,,,,2,no,no,,,,
2258309,2024-08-19 10:29:59,,,,,,,10,16,28,49,,,,,,,,,,,,,,2,no,no,,,,
2258309,2024-08-19 10:29:59,,,,,,,10,16,28,49,,,,,,,,,,,,,,2,no,no,,,,
2258309,2024-08-19 10:29:59,,,,,,,10,16,28,49,,,,,,,,,,,,,,2,no,no,,,,
