timestamp,local_time,sensor_2,sensor_4,bbox_x1,bbox_y1,bbox_x2,bbox_y2,mv_1,mv_2,mv_3,mv_4,left_eye_x,left_eye_y,right_eye_x,right_eye_y,nose_x,nose_y,mouth_left_x,mouth_left_y,mouth_right_x,mouth_right_y,fhp,prediction,notes,user_id,bad_posture_command,alarm_notification,notification_interval,feedback,model_threshold,model_notes
2676699,2024-08-19 10:36:57,,,,,,,,,,,,,,,,,,,,,211,,,2,no,no,,,,
2676709,2024-08-19 10:36:57,,,85,103,156,199,,,,,104,139,139,139,121,164,109,173,137,173,,,,2,no,no,,,,
2676709,2024-08-19 10:36:57,,,85,103,156,199,,,,,104,139,139,139,121,164,109,173,137,173,,,,2,no,no,,,,
2676789,2024-08-19 10:36:57,,,87,103,157,202,,,,,105,138,139,138,121,164,111,175,137,175,,,,2,no,no,,,,
2676789,2024-08-19 10:36:57,,,87,103,157,202,,,,,105,138,139,138,121,164,111,175,137,175,,,,2,no,no,,,,
2676799,2024-08-19 10:36:57,,,,,,,,,,,,,,,,,,,,,,,,2,no,no,,,,
2676809,2024-08-19 10:36:57,,,,,,,315,312,297,314,,,,,,,,,,,,,,2,no,no,,,,
2676819,2024-08-19 10:36:57,,,,,,,506,511,505,500,,,,,,,,,,,,,,2,no,no,,,,
2676819,2024-08-19 10:36:57,,,,,,,506,511,505,500,,,,,,,,,,,,,,2,no,no,,,,
2676819,2024-08-19 10:36:57,,,,,,,506,511,505,500,,,,,,,,,,,,,,2,no,no,,,,
2676829,2024-08-19 10:36:57,310,506,,,,,,,,,,,,,,,,,,,,0,,2,no,no,,,,
2676839,2024-08-19 10:36:57,,,,,,,,,,,,,,,,,,,,,216,,,2,no,no,,,,
2676879,2024-08-19 10:36:57,,,86,102,157,204,,,,,105,139,140,139,121,164,111,175,138,175,,,,2,no,no,,,,
2676879,2024-08-19 10:36:57,,,86,102,157,204,,,,,105,139,140,139,121,164,111,175,138,175,,,,2,no,no,,,,
2676899,2024-08-19 10:36:57,,,,,,,,,,,,,,,,,,,,,216,,,2,no,no,,,,
2677029,2024-08-19 10:36:57,,,84,102,156,202,,,,,104,139,139,139,120,164,110,175,135,175,,,,2,no,no,,,,
2677029,2024-08-19 10:36:57,,,84,102,156,202,,,,,104,139,139,139,120,164,110,175,135,175,,,,2,no,no,,,,
2677099,2024-08-19 10:36:58,,,,,,,,,,,,,,,,,,,,,216,,,2,no,no,,,,
