timestamp,local_time,sensor_2,sensor_4,bbox_x1,bbox_y1,bbox_x2,bbox_y2,mv_1,mv_2,mv_3,mv_4,left_eye_x,left_eye_y,right_eye_x,right_eye_y,nose_x,nose_y,mouth_left_x,mouth_left_y,mouth_right_x,mouth_right_y,fhp,prediction,notes,user_id,alarm_notification,notification_interval,feedback,model_threshold,model_notes
6432668,2024-08-29 13:51:50,,,,,,,542,549,541,539,,,,,,,,,,,,,,2,no,,,,
6432678,2024-08-29 13:51:51,,,,,,,655,662,657,652,,,,,,,,,,,,,,2,no,,,,
6432678,2024-08-29 13:51:51,,,,,,,655,662,657,652,,,,,,,,,,,,,,2,no,,,,
6432688,2024-08-29 13:51:51,543,657,,,,,,,,,,,,,,,,,,,,0,,2,no,,,,
6432788,2024-08-29 13:51:51,,,96,84,170,179,,,,,121,120,154,120,138,143,123,156,151,157,,,,2,no,,,,
6432788,2024-08-29 13:51:51,,,96,84,170,179,,,,,121,120,154,120,138,143,123,156,151,157,,,,2,no,,,,
6432868,2024-08-29 13:51:51,,,95,85,168,178,,,,,117,120,151,120,133,142,120,156,150,157,134,,,2,no,,,,
6432868,2024-08-29 13:51:51,,,95,85,168,178,,,,,117,120,151,120,133,142,120,156,150,157,134,,,2,no,,,,
6432868,2024-08-29 13:51:51,,,95,85,168,178,,,,,117,120,151,120,133,142,120,156,150,157,134,,,2,no,,,,
6433028,2024-08-29 13:51:51,,,93,89,166,181,,,,,113,125,145,124,127,143,116,158,144,158,,,,2,no,,,,
6433028,2024-08-29 13:51:51,,,93,89,166,181,,,,,113,125,145,124,127,143,116,158,144,158,,,,2,no,,,,
6433068,2024-08-29 13:51:51,,,,,,,,,,,,,,,,,,,,,134,,,2,no,,,,
6433168,2024-08-29 13:51:51,,,,,,,542,546,541,539,,,,,,,,,,,,,,2,no,,,,
6433168,2024-08-29 13:51:51,,,,,,,542,546,541,539,,,,,,,,,,,,,,2,no,,,,
