timestamp,local_time,sensor_2,sensor_4,bbox_x1,bbox_y1,bbox_x2,bbox_y2,mv_1,mv_2,mv_3,mv_4,left_eye_x,left_eye_y,right_eye_x,right_eye_y,nose_x,nose_y,mouth_left_x,mouth_left_y,mouth_right_x,mouth_right_y,fhp,prediction,notes,user_id,bad_posture_command,alarm_notification,notification_interval,feedback,model_threshold,model_notes,Unnamed: 0,Notes
15157887,2024-08-15 14:13:31,,,,,,,,,,,,,,,,,,,,,160.0,,,-1,no,no,,,,,,
15157947,2024-08-15 14:13:31,,,119.0,77.0,189.0,176.0,,,,,137.0,117.0,171.0,114.0,157.0,135.0,143.0,155.0,171.0,153.0,,,,-1,no,no,,,,,,
15157947,2024-08-15 14:13:31,,,119.0,77.0,189.0,176.0,,,,,137.0,117.0,171.0,114.0,157.0,135.0,143.0,155.0,171.0,153.0,,,,-1,no,no,,,,,,
15157987,2024-08-15 14:13:31,,,,,,,402.0,391.0,396.0,391.0,,,,,,,,,,,,,,-1,no,no,,,,,,
15157987,2024-08-15 14:13:31,,,,,,,402.0,391.0,396.0,391.0,,,,,,,,,,,,,,-1,no,no,,,,,,
15157997,2024-08-15 14:13:31,,,,,,,563.0,575.0,560.0,542.0,,,,,,,,,,,,,,-1,no,no,,,,,,
15157997,2024-08-15 14:13:31,,,,,,,563.0,575.0,560.0,542.0,,,,,,,,,,,,,,-1,no,no,,,,,,
15157997,2024-08-15 14:13:31,,,,,,,563.0,575.0,560.0,542.0,,,,,,,,,,,,,,-1,no,no,,,,,,
15158007,2024-08-15 14:13:32,395.0,560.0,,,,,,,,,,,,,,,,,,,185.0,,,-1,no,no,,,72.5,Thresholds changed from nan to 72.5 at 15158007 local time.,,
15158007,2024-08-15 14:13:32,395.0,560.0,,,,,,,,,,,,,,,,,,,185.0,,,-1,no,no,,,72.5,Thresholds changed from nan to 72.5 at 15158007 local time.,,
15158027,2024-08-15 14:13:39,,,118.0,76.0,191.0,177.0,,,,,137.0,115.0,172.0,113.0,156.0,135.0,144.0,154.0,170.0,152.0,,,,2,no,no,,,72.5,,,
15158027,2024-08-15 14:13:39,,,118.0,76.0,191.0,177.0,,,,,137.0,115.0,172.0,113.0,156.0,135.0,144.0,154.0,170.0,152.0,,,,2,no,no,,,72.5,,,
15158087,2024-08-15 14:13:39,,,,,,,,,,,,,,,,,,,,,185.0,,,2,no,no,,,72.5,,,
