timestamp,local_time,sensor_2,sensor_4,bbox_x1,bbox_y1,bbox_x2,bbox_y2,mv_1,mv_2,mv_3,mv_4,left_eye_x,left_eye_y,right_eye_x,right_eye_y,nose_x,nose_y,mouth_left_x,mouth_left_y,mouth_right_x,mouth_right_y,fhp,prediction,notes,user_id,alarm_notification,notification_interval,feedback,model_threshold,model_notes
13290358,2024-08-29 15:46:02,,,82,85,158,191,,,,,103,127,139,126,121,150,108,168,136,168,,,,2,no,,,,
13290358,2024-08-29 15:46:02,,,82,85,158,191,,,,,103,127,139,126,121,150,108,168,136,168,,,,2,no,,,,
13290368,2024-08-29 15:46:02,,,,,,,,,,,,,,,,,,,,,141,,,2,no,,,,
13290438,2024-08-29 15:46:02,,,80,86,158,190,,,,,102,125,140,125,120,150,107,167,135,167,,,,2,no,,,,
13290438,2024-08-29 15:46:02,,,80,86,158,190,,,,,102,125,140,125,120,150,107,167,135,167,,,,2,no,,,,
13290468,2024-08-29 15:46:02,,,,,,,,,,,,,,,,,,,,,141,,,2,no,,,,
13290518,2024-08-29 15:46:02,,,79,86,158,191,,,,,102,126,141,126,121,150,107,169,136,169,,,,2,no,,,,
13290518,2024-08-29 15:46:02,,,79,86,158,191,,,,,102,126,141,126,121,150,107,169,136,169,,,,2,no,,,,
13290568,2024-08-29 15:46:02,,,,,,,,,,,,,,,,,,,,,141,,,2,no,,,,
13290598,2024-08-29 15:46:02,,,81,87,157,192,,,,,102,127,139,126,121,150,109,169,136,168,,,,2,no,,,,
13290598,2024-08-29 15:46:02,,,81,87,157,192,,,,,102,127,139,126,121,150,109,169,136,168,,,,2,no,,,,
13290668,2024-08-29 15:46:02,,,,,,,513,528,527,515,,,,,,,,,,,,,,2,no,,,,
13290668,2024-08-29 15:46:02,,,,,,,513,528,527,515,,,,,,,,,,,,,,2,no,,,,
13290668,2024-08-29 15:46:02,,,,,,,513,528,527,515,,,,,,,,,,,,,,2,no,,,,
13290678,2024-08-29 15:46:03,,,80,88,156,193,623,658,638,625,,,,,,,,,,,,,,2,no,,,,
13290678,2024-08-29 15:46:03,,,80,88,156,193,623,658,638,625,,,,,,,,,,,,,,2,no,,,,
