timestamp,local_time,sensor_2,sensor_4,bbox_x1,bbox_y1,bbox_x2,bbox_y2,mv_1,mv_2,mv_3,mv_4,left_eye_x,left_eye_y,right_eye_x,right_eye_y,nose_x,nose_y,mouth_left_x,mouth_left_y,mouth_right_x,mouth_right_y,fhp,prediction,notes,user_id,bad_posture_command,alarm_notification,notification_interval,feedback,model_threshold,model_notes
2159494,2024-08-27 15:04:19,,,,,,,402.0,425.0,414.0,394.0,,,,,,,,,,,,,,-1,no,no,,,,
2159504,2024-08-27 15:04:19,,,,,,,535.0,536.0,557.0,550.0,,,,,,,,,,,,,,-1,no,no,,,,
2159514,2024-08-27 15:04:19,409.0,545.0,,,,,,,,,,,,,,,,,,,,,,-1,no,no,,,62.5,Thresholds changed from nan to 62.5 at 2159514 local time.
2159994,2024-08-27 15:04:29,,,,,,,402.0,425.0,405.0,394.0,,,,,,,,,,,,,,2,no,no,,,62.5,
2160004,2024-08-27 15:04:29,,,,,,,535.0,536.0,539.0,550.0,,,,,,,,,,,,,,2,no,no,,,62.5,
2160014,2024-08-27 15:04:29,407.0,540.0,,,,,,,,,,,,,,,,,,,,0.0,,2,no,no,,,62.5,
2160494,2024-08-27 15:04:29,,,,,,,402.0,425.0,405.0,430.0,,,,,,,,,,,,,,2,no,no,,,62.5,
2160504,2024-08-27 15:04:29,,,,,,,535.0,536.0,539.0,555.0,,,,,,,,,,,,,,2,no,no,,,62.5,
2160514,2024-08-27 15:04:29,416.0,541.0,,,,,,,,,,,,,,,,,,,,0.0,,2,no,no,,,62.5,
2160674,2024-08-27 15:04:30,,,65.0,98.0,139.0,194.0,,,,,90.0,138.0,123.0,134.0,113.0,158.0,99.0,174.0,124.0,170.0,,,,2,no,no,,,62.5,
2160694,2024-08-27 15:04:30,,,,,,,,,,,,,,,,,,,,,145.0,,,2,no,no,,,62.5,
2160754,2024-08-27 15:04:30,,,66.0,97.0,137.0,195.0,,,,,89.0,138.0,120.0,133.0,111.0,157.0,98.0,174.0,122.0,169.0,,,,2,no,no,,,62.5,
2160794,2024-08-27 15:04:30,,,,,,,,,,,,,,,,,,,,,145.0,,,2,no,no,,,62.5,
2160834,2024-08-27 15:04:30,,,66.0,98.0,136.0,194.0,,,,,88.0,138.0,119.0,133.0,110.0,157.0,96.0,174.0,121.0,169.0,,,,2,no,no,,,62.5,
2160894,2024-08-27 15:04:30,,,,,,,,,,,,,,,,,,,,,145.0,,,2,no,no,,,62.5,
2160914,2024-08-27 15:04:30,,,62.0,96.0,136.0,195.0,,,,,87.0,137.0,120.0,133.0,109.0,156.0,95.0,174.0,121.0,170.0,,,,2,no,no,,,62.5,
