Timestamp,Sensor 2,Sensor 4,BBox X1,BBox Y1,BBox X2,BBox Y2,MV 1,MV 2,MV 3,MV 4,Left Eye X,Left Eye Y,Right Eye X,Right Eye Y,Nose X,Nose Y,Mouth Left X,Mouth Left Y,Mouth Right X,Mouth Right Y,FHP,Posture
514692165,nan,nan,nan,nan,nan,nan,704,710,708,718,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,a round shoulder with poking chin posture
514692175,nan,nan,nan,nan,nan,nan,796,796,795,796,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,a round shoulder with poking chin posture
514692185,710,796,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,a round shoulder with poking chin posture
514692665,nan,nan,nan,nan,nan,nan,715,710,708,718,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,a round shoulder with poking chin posture
514692675,nan,nan,nan,nan,nan,nan,795,796,795,796,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,a round shoulder with poking chin posture
514692685,713,796,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,a round shoulder with poking chin posture
514693165,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,a round shoulder with poking chin posture
514693665,nan,nan,nan,nan,nan,nan,715,718,716,718,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,a round shoulder with poking chin posture
514693675,nan,nan,nan,nan,nan,nan,795,796,795,796,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,a round shoulder with poking chin posture
514693685,717,796,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,a round shoulder with poking chin posture
514694025,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,138,121,167,119,154,136,144,154,165,153,nan,a round shoulder with poking chin posture
514694105,nan,nan,113,88,179,184,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,a round shoulder with poking chin posture
514694165,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,a round shoulder with poking chin posture
514694185,nan,nan,110,92,178,191,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,a round shoulder with poking chin posture
514694195,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,129,131,160,128,145,150,135,168,158,166,nan,a round shoulder with poking chin posture
514694265,nan,nan,104,97,173,202,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,a round shoulder with poking chin posture
514694365,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,106,a round shoulder with poking chin posture
514694425,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,118,153,153,150,136,173,125,191,154,189,nan,a round shoulder with poking chin posture
514694505,nan,nan,98,109,178,224,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,a round shoulder with poking chin posture
514694585,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,119,160,155,158,136,181,126,198,155,196,nan,a round shoulder with poking chin posture
514694665,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,119,162,155,163,135,186,122,200,155,201,nan,a round shoulder with poking chin posture
514694685,nan,nan,nan,nan,nan,nan,542,718,716,675,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,a round shoulder with poking chin posture
514694695,nan,nan,nan,nan,nan,nan,687,796,795,783,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,a round shoulder with poking chin posture
514694705,663,765,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,a round shoulder with poking chin posture
514694745,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,120,162,159,160,140,184,126,202,159,200,nan,a round shoulder with poking chin posture
514694825,nan,nan,106,118,185,225,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,a round shoulder with poking chin posture
514694905,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,127,160,163,158,146,181,133,197,163,196,nan,a round shoulder with poking chin posture
514694965,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,122,a round shoulder with poking chin posture
514694985,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,126,157,162,154,145,177,133,196,162,193,nan,a round shoulder with poking chin posture
514695065,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,127,157,163,154,148,176,136,196,165,193,nan,a round shoulder with poking chin posture
514695145,nan,nan,108,112,183,217,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,a round shoulder with poking chin posture
514695165,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,a round shoulder with poking chin posture
514695185,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,139,a round shoulder with poking chin posture
514695225,nan,nan,107,110,186,219,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,a round shoulder with poking chin posture
514695305,nan,nan,104,110,182,220,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,a round shoulder with poking chin posture
514695385,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,123,156,161,152,145,175,132,195,163,191,nan,a round shoulder with poking chin posture
514695465,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,124,156,158,153,142,177,132,194,160,192,nan,a round shoulder with poking chin posture
514695545,nan,nan,101,112,181,220,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,a round shoulder with poking chin posture
514695565,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,139,a round shoulder with poking chin posture
514695625,nan,nan,101,111,183,220,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,a round shoulder with poking chin posture
514695665,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,a round shoulder with poking chin posture
514695685,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,154,a round shoulder with poking chin posture
514695705,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,119,157,157,152,139,176,128,195,158,191,nan,a round shoulder with poking chin posture
514695785,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,121,158,159,155,140,178,128,198,159,195,nan,a round shoulder with poking chin posture
514695865,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,122,157,158,156,141,177,128,196,160,194,nan,a round shoulder with poking chin posture
514695945,nan,nan,103,116,178,221,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,a round shoulder with poking chin posture
514696025,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,123,158,159,154,143,176,131,196,161,193,nan,a round shoulder with poking chin posture
514696105,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,125,159,160,155,144,179,135,199,163,196,nan,a round shoulder with poking chin posture
514696165,nan,nan,nan,nan,nan,nan,542,567,566,563,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,a round shoulder with poking chin posture
514696175,nan,nan,nan,nan,nan,nan,687,710,709,710,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,a round shoulder with poking chin posture
514696185,560,704,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,164,a round shoulder with poking chin posture
514696265,nan,nan,107,114,183,222,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,a round shoulder with poking chin posture
514696425,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,128,158,165,156,148,178,134,196,166,194,nan,a round shoulder with poking chin posture
514696505,nan,nan,109,113,185,221,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,a round shoulder with poking chin posture
514696585,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,129,158,164,157,149,179,136,196,164,195,nan,a round shoulder with poking chin posture
514696665,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,131,157,166,160,148,179,135,195,164,197,nan,a round shoulder with poking chin posture
514696685,nan,nan,nan,nan,nan,nan,564,567,566,563,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,a round shoulder with poking chin posture
514696695,nan,nan,nan,nan,nan,nan,708,710,709,710,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,a round shoulder with poking chin posture
514696705,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,164,a round shoulder with poking chin posture
514696745,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,130,159,166,157,150,177,137,196,167,195,nan,a round shoulder with poking chin posture
514696825,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,127,157,165,157,146,179,133,195,164,195,nan,a round shoulder with poking chin posture
514696905,nan,nan,107,114,185,221,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,a round shoulder with poking chin posture
514696985,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,128,159,163,158,147,180,135,197,163,196,nan,a round shoulder with poking chin posture
514697065,nan,nan,108,114,184,221,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,164,a round shoulder with poking chin posture
514697145,nan,nan,108,116,184,222,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,a round shoulder with poking chin posture
514697165,nan,nan,nan,nan,nan,nan,564,560,566,563,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,a round shoulder with poking chin posture
514697175,nan,nan,nan,nan,nan,nan,708,707,709,710,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,a round shoulder with poking chin posture
514697185,563,709,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,a round shoulder with poking chin posture
514697225,nan,nan,108,114,184,221,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,a round shoulder with poking chin posture
514697305,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,127,158,162,157,146,176,133,195,162,194,nan,a round shoulder with poking chin posture
514697385,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,128,158,163,157,146,178,134,195,163,194,nan,a round shoulder with poking chin posture
514697465,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,127,158,163,156,146,178,134,196,164,194,nan,a round shoulder with poking chin posture
514697545,nan,nan,106,108,185,223,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,a round shoulder with poking chin posture
