Timestamp,Sensor 2,Sensor 4,BBox X1,BBox Y1,BBox X2,BBox Y2,MV 1,MV 2,MV 3,MV 4,Left Eye X,Left Eye Y,Right Eye X,Right Eye Y,Nose X,Nose Y,Mouth Left X,Mouth Left Y,Mouth Right X,Mouth Right Y,FHP,Posture
514479165,nan,nan,nan,nan,nan,nan,627,631,585,609,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,a round shoulder with poking chin posture
514479175,nan,nan,nan,nan,nan,nan,736,739,732,733,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,a round shoulder with poking chin posture
514479185,613,735,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,a round shoulder with poking chin posture
514479665,nan,nan,nan,nan,nan,nan,627,631,624,609,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,a round shoulder with poking chin posture
514479675,nan,nan,nan,nan,nan,nan,736,739,738,733,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,a round shoulder with poking chin posture
514479685,623,737,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,a round shoulder with poking chin posture
514479795,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,104,106,133,112,104,125,97,146,121,152,nan,a round shoulder with poking chin posture
514479875,nan,nan,101,75,179,183,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,a round shoulder with poking chin posture
514479955,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,129,120,165,119,148,140,134,158,162,158,nan,a round shoulder with poking chin posture
514480035,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,133,120,169,121,153,141,136,160,165,161,nan,a round shoulder with poking chin posture
514480165,nan,nan,nan,nan,nan,nan,627,631,624,597,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,a round shoulder with poking chin posture
514480175,nan,nan,nan,nan,nan,nan,736,739,738,732,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,a round shoulder with poking chin posture
514480185,620,736,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,a round shoulder with poking chin posture
514480195,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,133,122,167,121,152,143,137,160,166,159,nan,a round shoulder with poking chin posture
514480275,nan,nan,108,81,184,186,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,a round shoulder with poking chin posture
514480355,nan,nan,108,82,187,190,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,a round shoulder with poking chin posture
