timestamp,local_time,sensor_2,sensor_4,bbox_x1,bbox_y1,bbox_x2,bbox_y2,mv_1,mv_2,mv_3,mv_4,left_eye_x,left_eye_y,right_eye_x,right_eye_y,nose_x,nose_y,mouth_left_x,mouth_left_y,mouth_right_x,mouth_right_y,fhp,prediction,notes,user_id,bad_posture_command,alarm_notification,notification_interval,feedback,model_threshold,model_notes
4356039,2024-08-19 11:05:01,,,87,80,163,189,,,,,108,123,146,121,129,145,115,164,144,163,,,,2,no,no,,,,
4356099,2024-08-19 11:05:01,,,,,,,,,,,,,,,,,,,,,243,,,2,no,no,,,,
4356119,2024-08-19 11:05:01,,,87,81,164,190,,,,,108,124,146,122,130,146,115,165,145,164,,,,2,no,no,,,,
4356119,2024-08-19 11:05:01,,,87,81,164,190,,,,,108,124,146,122,130,146,115,165,145,164,,,,2,no,no,,,,
4356199,2024-08-19 11:05:01,,,85,82,164,187,,,,,108,123,148,122,129,146,114,164,143,163,243,,,2,no,no,,,,
4356199,2024-08-19 11:05:01,,,85,82,164,187,,,,,108,123,148,122,129,146,114,164,143,163,243,,,2,no,no,,,,
4356199,2024-08-19 11:05:01,,,85,82,164,187,,,,,108,123,148,122,129,146,114,164,143,163,243,,,2,no,no,,,,
4356279,2024-08-19 11:05:01,,,86,80,165,189,,,,,108,122,147,121,129,145,114,164,143,163,,,,2,no,no,,,,
4356279,2024-08-19 11:05:01,,,86,80,165,189,,,,,108,122,147,121,129,145,114,164,143,163,,,,2,no,no,,,,
4356299,2024-08-19 11:05:01,,,,,,,324,342,327,339,,,,,,,,,,,,,,2,no,no,,,,
4356299,2024-08-19 11:05:01,,,,,,,324,342,327,339,,,,,,,,,,,,,,2,no,no,,,,
4356309,2024-08-19 11:05:01,,,,,,,562,563,555,547,,,,,,,,,,,,,,2,no,no,,,,
4356309,2024-08-19 11:05:01,,,,,,,562,563,555,547,,,,,,,,,,,,,,2,no,no,,,,
4356309,2024-08-19 11:05:01,,,,,,,562,563,555,547,,,,,,,,,,,,,,2,no,no,,,,
4356319,2024-08-19 11:05:01,333,557,,,,,,,,,,,,,,,,,,,,0,,2,no,no,,,,
4356329,2024-08-19 11:05:01,,,,,,,,,,,,,,,,,,,,,244,,,2,no,no,,,,
4356369,2024-08-19 11:05:01,,,85,80,163,187,,,,,108,121,147,121,129,145,114,164,143,164,,,,2,no,no,,,,
4356369,2024-08-19 11:05:01,,,85,80,163,187,,,,,108,121,147,121,129,145,114,164,143,164,,,,2,no,no,,,,
