timestamp,local_time,sensor_2,sensor_4,bbox_x1,bbox_y1,bbox_x2,bbox_y2,mv_1,mv_2,mv_3,mv_4,left_eye_x,left_eye_y,right_eye_x,right_eye_y,nose_x,nose_y,mouth_left_x,mouth_left_y,mouth_right_x,mouth_right_y,fhp,prediction,notes,user_id,alarm_notification,notification_interval,feedback,model_threshold,model_notes
14124198,2024-08-29 15:59:57,,,,,,,,,,,101,144,135,143,117,165,106,183,133,183,,,,2,no,,,,
14124268,2024-08-29 15:59:57,,,82,106,158,208,,,,,101,144,137,144,117,165,105,183,135,184,136,,,2,no,,,,
14124268,2024-08-29 15:59:57,,,82,106,158,208,,,,,101,144,137,144,117,165,105,183,135,184,136,,,2,no,,,,
14124268,2024-08-29 15:59:57,,,82,106,158,208,,,,,101,144,137,144,117,165,105,183,135,184,136,,,2,no,,,,
14124368,2024-08-29 15:59:57,,,,,,,,,,,,,,,,,,,,,136,,,2,no,,,,
14124428,2024-08-29 15:59:57,,,84,107,158,208,,,,,101,144,137,143,117,164,106,183,134,183,,,,2,no,,,,
14124428,2024-08-29 15:59:57,,,84,107,158,208,,,,,101,144,137,143,117,164,106,183,134,183,,,,2,no,,,,
14124468,2024-08-29 15:59:57,,,,,,,,,,,,,,,,,,,,,136,,,2,no,,,,
14124508,2024-08-29 15:59:57,,,83,107,157,207,,,,,101,144,136,143,118,165,107,183,133,183,,,,2,no,,,,
14124508,2024-08-29 15:59:57,,,83,107,157,207,,,,,101,144,136,143,118,165,107,183,133,183,,,,2,no,,,,
14124568,2024-08-29 15:59:57,,,,,,,,,,,,,,,,,,,,,136,,,2,no,,,,
14124588,2024-08-29 15:59:57,,,83,107,158,207,,,,,101,144,137,144,118,166,106,183,135,183,,,,2,no,,,,
14124588,2024-08-29 15:59:57,,,83,107,158,207,,,,,101,144,137,144,118,166,106,183,135,183,,,,2,no,,,,
14124668,2024-08-29 15:59:57,,,84,106,158,206,,,,,101,144,137,144,117,166,105,184,134,183,,,,2,no,,,,
14124668,2024-08-29 15:59:57,,,84,106,158,206,,,,,101,144,137,144,117,166,105,184,134,183,,,,2,no,,,,
14124668,2024-08-29 15:59:57,,,84,106,158,206,,,,,101,144,137,144,117,166,105,184,134,183,,,,2,no,,,,
14124678,2024-08-29 15:59:57,,,,,,,527,527,526,526,,,,,,,,,,,,,,2,no,,,,
14124688,2024-08-29 15:59:57,,,,,,,,,,,,,,,,,,,,,,,,2,no,,,,
14124698,2024-08-29 15:59:57,527,643,,,,,643,642,643,642,,,,,,,,,,,,0,,2,no,,,,
14124698,2024-08-29 15:59:57,527,643,,,,,643,642,643,642,,,,,,,,,,,,0,,2,no,,,,
14124698,2024-08-29 15:59:57,527,643,,,,,643,642,643,642,,,,,,,,,,,,0,,2,no,,,,
14124708,2024-08-29 15:59:57,,,,,,,,,,,,,,,,,,,,,136,,,2,no,,,,
14124748,2024-08-29 15:59:57,,,85,109,158,206,,,,,102,144,137,144,118,166,106,183,134,183,,,,2,no,,,,
14124748,2024-08-29 15:59:57,,,85,109,158,206,,,,,102,144,137,144,118,166,106,183,134,183,,,,2,no,,,,
14124768,2024-08-29 15:59:57,,,,,,,,,,,,,,,,,,,,,136,,,2,no,,,,
14124828,2024-08-29 15:59:57,,,82,106,157,206,,,,,102,143,137,143,117,166,106,182,133,183,,,,2,no,,,,
14124828,2024-08-29 15:59:57,,,82,106,157,206,,,,,102,143,137,143,117,166,106,182,133,183,,,,2,no,,,,
14124868,2024-08-29 15:59:57,,,,,,,,,,,,,,,,,,,,,136,,,2,no,,,,
14124908,2024-08-29 15:59:57,,,84,109,156,205,,,,,102,144,137,144,117,165,105,183,134,183,,,,2,no,,,,
14124908,2024-08-29 15:59:57,,,84,109,156,205,,,,,102,144,137,144,117,165,105,183,134,183,,,,2,no,,,,
14124968,2024-08-29 15:59:57,,,,,,,,,,,,,,,,,,,,,136,,,2,no,,,,
14124988,2024-08-29 15:59:57,,,84,107,157,207,,,,,102,144,137,144,118,166,106,183,134,183,,,,2,no,,,,
14124988,2024-08-29 15:59:57,,,84,107,157,207,,,,,102,144,137,144,118,166,106,183,134,183,,,,2,no,,,,
14125068,2024-08-29 15:59:57,,,84,107,158,207,,,,,102,144,137,144,117,164,106,182,134,183,136,,,2,no,,,,
14125068,2024-08-29 15:59:57,,,84,107,158,207,,,,,102,144,137,144,117,164,106,182,134,183,136,,,2,no,,,,
14125068,2024-08-29 15:59:57,,,84,107,158,207,,,,,102,144,137,144,117,164,106,182,134,183,136,,,2,no,,,,
14125148,2024-08-29 15:59:57,,,83,107,156,206,,,,,101,144,136,144,117,165,105,182,133,183,,,,2,no,,,,
14125148,2024-08-29 15:59:57,,,83,107,156,206,,,,,101,144,136,144,117,165,105,182,133,183,,,,2,no,,,,
14125168,2024-08-29 15:59:57,,,,,,,527,525,526,526,,,,,,,,,,,,,,2,no,,,,
14125168,2024-08-29 15:59:57,,,,,,,527,525,526,526,,,,,,,,,,,,,,2,no,,,,
14125168,2024-08-29 15:59:57,,,,,,,527,525,526,526,,,,,,,,,,,,,,2,no,,,,
14125178,2024-08-29 15:59:57,,,,,,,643,642,643,642,,,,,,,,,,,,,,2,no,,,,
14125178,2024-08-29 15:59:57,,,,,,,643,642,643,642,,,,,,,,,,,,,,2,no,,,,
14125188,2024-08-29 15:59:57,526,643,,,,,,,,,,,,,,,,,,,137,0,,2,no,,,,
14125188,2024-08-29 15:59:57,526,643,,,,,,,,,,,,,,,,,,,137,0,,2,no,,,,
14125228,2024-08-29 15:59:58,,,82,106,158,208,,,,,100,144,136,144,116,165,105,183,133,184,,,,2,no,,,,
14125228,2024-08-29 15:59:58,,,82,106,158,208,,,,,100,144,136,144,116,165,105,183,133,184,,,,2,no,,,,
14125268,2024-08-29 15:59:58,,,,,,,,,,,,,,,,,,,,,137,,,2,no,,,,
14125308,2024-08-29 15:59:58,,,82,105,158,208,,,,,100,143,136,143,116,165,105,184,133,184,,,,2,no,,,,
14125308,2024-08-29 15:59:58,,,82,105,158,208,,,,,100,143,136,143,116,165,105,184,133,184,,,,2,no,,,,
