timestamp,local_time,sensor_2,sensor_4,bbox_x1,bbox_y1,bbox_x2,bbox_y2,mv_1,mv_2,mv_3,mv_4,left_eye_x,left_eye_y,right_eye_x,right_eye_y,nose_x,nose_y,mouth_left_x,mouth_left_y,mouth_right_x,mouth_right_y,fhp,prediction,notes,user_id,alarm_notification,notification_interval,feedback,model_threshold,model_notes
1288178,2024-08-28 16:20:31,,,,,,,647,640,631,630,,,,,,,,,,,,,,2,no,,,,
1288188,2024-08-28 16:20:31,518,637,,,,,,,,,,,,,,,,,,,139,0,,2,no,,,,
1288188,2024-08-28 16:20:31,518,637,,,,,,,,,,,,,,,,,,,139,0,,2,no,,,,
1288208,2024-08-28 16:20:31,,,83,93,159,197,,,,,107,134,144,133,126,159,113,174,141,173,,,,2,no,,,,
1288208,2024-08-28 16:20:31,,,83,93,159,197,,,,,107,134,144,133,126,159,113,174,141,173,,,,2,no,,,,
1288268,2024-08-28 16:20:31,,,,,,,,,,,,,,,,,,,,,139,,,2,no,,,,
1288288,2024-08-28 16:20:31,,,83,94,157,195,,,,,107,133,143,132,126,158,112,172,140,171,,,,2,no,,,,
1288288,2024-08-28 16:20:31,,,83,94,157,195,,,,,107,133,143,132,126,158,112,172,140,171,,,,2,no,,,,
1288358,2024-08-28 16:20:31,,,85,94,159,196,,,,,,,,,,,,,,,,,,2,no,,,,
1288368,2024-08-28 16:20:31,,,,,,,,,,,108,134,145,133,127,160,113,174,141,174,139,,,2,no,,,,
1288368,2024-08-28 16:20:31,,,,,,,,,,,108,134,145,133,127,160,113,174,141,174,139,,,2,no,,,,
1288438,2024-08-28 16:20:31,,,85,94,158,197,,,,,,,,,,,,,,,,,,2,no,,,,
1288448,2024-08-28 16:20:31,,,,,,,,,,,108,134,144,132,127,158,114,174,142,173,,,,2,no,,,,
1288468,2024-08-28 16:20:31,,,,,,,,,,,,,,,,,,,,,139,,,2,no,,,,
1288518,2024-08-28 16:20:31,,,85,93,160,199,,,,,,,,,,,,,,,,,,2,no,,,,
1288528,2024-08-28 16:20:32,,,,,,,,,,,108,133,144,132,128,158,114,174,142,173,,,,2,no,,,,
1288568,2024-08-28 16:20:32,,,,,,,,,,,,,,,,,,,,,139,,,2,no,,,,
1288608,2024-08-28 16:20:32,,,86,94,162,199,,,,,108,134,146,132,128,160,114,175,143,174,,,,2,no,,,,
1288608,2024-08-28 16:20:32,,,86,94,162,199,,,,,108,134,146,132,128,160,114,175,143,174,,,,2,no,,,,
1288668,2024-08-28 16:20:32,,,,,,,513,521,507,513,,,,,,,,,,,,,,2,no,,,,
1288668,2024-08-28 16:20:32,,,,,,,513,521,507,513,,,,,,,,,,,,,,2,no,,,,
1288668,2024-08-28 16:20:32,,,,,,,513,521,507,513,,,,,,,,,,,,,,2,no,,,,
1288678,2024-08-28 16:20:32,,,,,,,631,640,631,630,,,,,,,,,,,,,,2,no,,,,
1288678,2024-08-28 16:20:32,,,,,,,631,640,631,630,,,,,,,,,,,,,,2,no,,,,
1288688,2024-08-28 16:20:32,514,633,88,93,163,200,,,,,109,135,146,133,129,159,115,175,144,174,,0,,2,no,,,,
1288688,2024-08-28 16:20:32,514,633,88,93,163,200,,,,,109,135,146,133,129,159,115,175,144,174,,0,,2,no,,,,
1288698,2024-08-28 16:20:32,,,,,,,,,,,,,,,,,,,,,139,,,2,no,,,,
1288688,2024-08-28 16:20:32,514,633,88,93,163,200,,,,,109,135,146,133,129,159,115,175,144,174,,0,,2,no,,,,
1288768,2024-08-28 16:20:32,,,88,94,162,197,,,,,109,134,146,133,128,159,115,173,144,172,139,,,2,no,,,,
1288768,2024-08-28 16:20:32,,,88,94,162,197,,,,,109,134,146,133,128,159,115,173,144,172,139,,,2,no,,,,
1288768,2024-08-28 16:20:32,,,88,94,162,197,,,,,109,134,146,133,128,159,115,173,144,172,139,,,2,no,,,,
1288868,2024-08-28 16:20:32,,,,,,,,,,,,,,,,,,,,,139,,,2,no,,,,
1288918,2024-08-28 16:20:32,,,87,95,162,198,,,,,,,,,,,,,,,,,,2,no,,,,
1288928,2024-08-28 16:20:32,,,,,,,,,,,110,134,147,133,129,160,116,174,143,174,,,,2,no,,,,
1288968,2024-08-28 16:20:32,,,,,,,,,,,,,,,,,,,,,139,,,2,no,,,,
1288998,2024-08-28 16:20:32,,,87,97,162,199,,,,,,,,,,,,,,,,,,2,no,,,,
1289008,2024-08-28 16:20:32,,,,,,,,,,,110,135,147,135,128,160,116,174,143,175,,,,2,no,,,,
1289068,2024-08-28 16:20:32,,,,,,,,,,,,,,,,,,,,,139,,,2,no,,,,
1289078,2024-08-28 16:20:32,,,90,99,160,197,,,,,,,,,,,,,,,,,,2,no,,,,
1289088,2024-08-28 16:20:32,,,,,,,,,,,110,136,144,137,126,162,114,173,142,174,,,,2,no,,,,
1289158,2024-08-28 16:20:32,,,87,99,159,199,,,,,109,137,143,138,125,162,113,173,142,175,,,,2,no,,,,
