timestamp,local_time,sensor_2,sensor_4,bbox_x1,bbox_y1,bbox_x2,bbox_y2,mv_1,mv_2,mv_3,mv_4,left_eye_x,left_eye_y,right_eye_x,right_eye_y,nose_x,nose_y,mouth_left_x,mouth_left_y,mouth_right_x,mouth_right_y,fhp,prediction,notes,user_id,bad_posture_command,alarm_notification,notification_interval,feedback,model_threshold,model_notes
2533324,2024-08-27 15:10:39,,,66,110,146,221,,,,,88,157,127,149,114,178,101,196,130,190,,,,2,no,no,,,,
2533324,2024-08-27 15:10:39,,,66,110,146,221,,,,,88,157,127,149,114,178,101,196,130,190,,,,2,no,no,,,,
2533494,2024-08-27 15:10:39,,,,,,,408,392,404,399,,,,,,,,,,,,,,2,no,no,,,,
2533494,2024-08-27 15:10:39,,,,,,,408,392,404,399,,,,,,,,,,,,,,2,no,no,,,,
2533494,2024-08-27 15:10:39,,,,,,,408,392,404,399,,,,,,,,,,,,,,2,no,no,,,,
2533504,2024-08-27 15:10:39,,,,,,,518,506,489,519,,,,,,,,,,,,,,2,no,no,,,,
2533504,2024-08-27 15:10:39,,,,,,,518,506,489,519,,,,,,,,,,,,,,2,no,no,,,,
2533514,2024-08-27 15:10:39,401,508,,,,,,,,,,,,,,,,,,,,0,,2,no,no,,,,
2533994,2024-08-27 15:10:39,,,,,,,408,392,404,399,,,,,,,,,,,,,,2,no,no,,,,
2533994,2024-08-27 15:10:39,,,,,,,408,392,404,399,,,,,,,,,,,,,,2,no,no,,,,
2533994,2024-08-27 15:10:39,,,,,,,408,392,404,399,,,,,,,,,,,,,,2,no,no,,,,
2534004,2024-08-27 15:10:39,,,,,,,518,506,513,519,,,,,,,,,,,,,,2,no,no,,,,
2534004,2024-08-27 15:10:39,,,,,,,518,506,513,519,,,,,,,,,,,,,,2,no,no,,,,
2534014,2024-08-27 15:10:39,401,514,,,,,,,,,,,,,,,,,,,,0,,2,no,no,,,,
2534494,2024-08-27 15:10:39,,,,,,,408,392,404,394,,,,,,,,,,,,,,2,no,no,,,,
2534494,2024-08-27 15:10:39,,,,,,,408,392,404,394,,,,,,,,,,,,,,2,no,no,,,,
2534494,2024-08-27 15:10:39,,,,,,,408,392,404,394,,,,,,,,,,,,,,2,no,no,,,,
2534504,2024-08-27 15:10:39,,,,,,,518,506,513,508,,,,,,,,,,,,,,2,no,no,,,,
2534504,2024-08-27 15:10:39,,,,,,,518,506,513,508,,,,,,,,,,,,,,2,no,no,,,,
2534514,2024-08-27 15:10:39,400,511,,,,,,,,,,,,,,,,,,,,0,,2,no,no,,,,
2534684,2024-08-27 15:10:39,,,57,114,137,223,,,,,81,157,118,154,103,180,89,196,119,193,,,,2,no,no,,,,
2534684,2024-08-27 15:10:39,,,57,114,137,223,,,,,81,157,118,154,103,180,89,196,119,193,,,,2,no,no,,,,
2534694,2024-08-27 15:10:39,,,,,,,,,,,,,,,,,,,,,131,,,2,no,no,,,,
2534994,2024-08-27 15:10:39,,,,,,,398,392,404,394,,,,,,,,,,,,,,2,no,no,,,,
2534994,2024-08-27 15:10:39,,,,,,,398,392,404,394,,,,,,,,,,,,,,2,no,no,,,,
2534994,2024-08-27 15:10:39,,,,,,,398,392,404,394,,,,,,,,,,,,,,2,no,no,,,,
2535004,2024-08-27 15:10:39,,,,,,,508,506,513,508,,,,,,,,,,,,,,2,no,no,,,,
2535004,2024-08-27 15:10:39,,,,,,,508,506,513,508,,,,,,,,,,,,,,2,no,no,,,,
2535014,2024-08-27 15:10:39,397,509,,,,,,,,,,,,,,,,,,,,0,,2,no,no,,,,
2535084,2024-08-27 15:10:39,,,63,112,142,223,,,,,86,159,125,152,112,181,98,200,127,194,,,,2,no,no,,,,
2535084,2024-08-27 15:10:39,,,63,112,142,223,,,,,86,159,125,152,112,181,98,200,127,194,,,,2,no,no,,,,
2535094,2024-08-27 15:10:39,,,,,,,,,,,,,,,,,,,,,132,,,2,no,no,,,,
2535164,2024-08-27 15:10:39,,,65,112,146,222,,,,,89,158,129,152,115,181,100,198,130,193,,,,2,no,no,,,,
2535164,2024-08-27 15:10:39,,,65,112,146,222,,,,,89,158,129,152,115,181,100,198,130,193,,,,2,no,no,,,,
2535194,2024-08-27 15:10:39,,,,,,,,,,,,,,,,,,,,,132,,,2,no,no,,,,
2535324,2024-08-27 15:10:39,,,68,114,147,222,,,,,93,158,131,152,118,181,103,198,133,193,,,,2,no,no,,,,
2535324,2024-08-27 15:10:39,,,68,114,147,222,,,,,93,158,131,152,118,181,103,198,133,193,,,,2,no,no,,,,
2535394,2024-08-27 15:10:39,,,,,,,,,,,,,,,,,,,,,132,,,2,no,no,,,,
2535404,2024-08-27 15:10:39,,,70,112,149,221,,,,,93,157,133,150,120,180,105,197,135,191,,,,2,no,no,,,,
2535404,2024-08-27 15:10:39,,,70,112,149,221,,,,,93,157,133,150,120,180,105,197,135,191,,,,2,no,no,,,,
2535484,2024-08-27 15:10:39,,,70,112,150,221,,,,,94,158,132,150,121,179,106,196,135,190,,,,2,no,no,,,,
2535484,2024-08-27 15:10:39,,,70,112,150,221,,,,,94,158,132,150,121,179,106,196,135,190,,,,2,no,no,,,,
2535494,2024-08-27 15:10:39,,,,,,,398,371,404,394,,,,,,,,,,,,,,2,no,no,,,,
2535494,2024-08-27 15:10:39,,,,,,,398,371,404,394,,,,,,,,,,,,,,2,no,no,,,,
2535504,2024-08-27 15:10:40,,,,,,,,,,,,,,,,,,,,,,,,2,no,no,,,,
2535514,2024-08-27 15:10:40,392,511,,,,,508,514,513,508,,,,,,,,,,,,0,,2,no,no,,,,
2535514,2024-08-27 15:10:40,392,511,,,,,508,514,513,508,,,,,,,,,,,,0,,2,no,no,,,,
2535514,2024-08-27 15:10:40,392,511,,,,,508,514,513,508,,,,,,,,,,,,0,,2,no,no,,,,
2535524,2024-08-27 15:10:40,,,,,,,,,,,,,,,,,,,,,139,,,2,no,no,,,,
2535564,2024-08-27 15:10:40,,,71,111,150,221,,,,,,,,,,,,,,,,,,2,no,no,,,,
